symbol,event_id,asset,launch_ts,announcement_ts,announcement_body_present,body_trading_time_present,onboardDate_present,pending_trading_ts_present,trading_ts_present,first_orderbook_ts_present,first_trade_ts_present,first_mark_ts_present,first_index_ts_present,first_oi_ts_present,l2_t0_t6h_present,trades_t0_t6h_present,funding_present,spot_existed_before,other_venue_existed_before,actual_fee_present,capacity_present,coverage_score,coverage_score_after_free,coverage_score_after_free_and_key,bucket,bucket_after_free,missing_p0_fields,missing_p1_fields,backfill_source,action,vision_available,vision_missing,other_venue_first,launch_year
LUNA2USDT,e3fdaf3c4fc6fe49ad83a2b2,LUNA2,2022-09-10T03:00:00+00:00,2022-09-09T15:55:59.216000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,66,69,unusable,partial,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,paid,collect,aggTrades;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,bookDepth,,2022
BLURUSDT,27b63ec2126b71570873365d,BLUR,2023-04-28T12:00:00+00:00,2023-04-27T12:26:05.486000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2023-02-01T05:44,2023
1000PEPEUSDT,771eb47c3fcc81c52c724335,1000PEPE,2023-05-05T16:30:00+00:00,2023-05-05T12:15:19.381000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2023-05-03T04:22,2023
ARKUSDT,8f9346145d6137459b8f23c9,ARK,2023-09-19T16:03:00+00:00,2023-09-19T08:20:07.962000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2023
BIGTIMEUSDT,6c20de43f56e37f8ca8be6d0,BIGTIME,2023-10-12T14:30:00+00:00,2023-10-12T11:17:22.199000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2023
ORBSUSDT,525708299058a330fb701cef,ORBS,2023-10-17T06:00:00+00:00,2023-10-17T01:33:56.276000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,okx:listing@2023-03-03T07:42,2023
BSVUSDT,b6b050a77e7ba560ac45accb,BSV,2023-10-20T12:30:00+00:00,2023-10-20T03:15:03.998000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2023
TOKENUSDT,0203a2e2313bf3decb1ca01a,TOKEN,2023-11-03T15:00:00+00:00,2023-11-03T10:50:02.884000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2023-11-02T09:00,2023
KASUSDT,3c3028d3750531b66a53cf7c,KAS,2023-11-17T02:00:00+00:00,2023-11-16T13:38:07.548000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2023-09-06T10:00,2023
ETHWUSDT,b4883000a6fb5da32096f7b6,ETHW,2023-11-28T12:30:00+00:00,2023-11-28T06:51:02.129000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2022-09-15T09:33,2023
