symbol,venue,start_ts,end_ts,required_data_types,reason,priority,can_backfill_free,needs_paid_provider,free_sources_available,event_id,launch_ts
LUNA2USDT,binance-futures,2022-09-10T02:30:00+00:00,2022-09-10T09:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",missing_l2,P0,False,True,aggTrades;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,e3fdaf3c4fc6fe49ad83a2b2,2022-09-10T03:00:00+00:00
BLURUSDT,binance-futures,2023-04-28T11:30:00+00:00,2023-04-28T18:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,27b63ec2126b71570873365d,2023-04-28T12:00:00+00:00
1000PEPEUSDT,binance-futures,2023-05-05T16:00:00+00:00,2023-05-05T22:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,771eb47c3fcc81c52c724335,2023-05-05T16:30:00+00:00
ARKUSDT,binance-futures,2023-09-19T15:33:00+00:00,2023-09-19T22:03:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,8f9346145d6137459b8f23c9,2023-09-19T16:03:00+00:00
BIGTIMEUSDT,binance-futures,2023-10-12T14:00:00+00:00,2023-10-12T20:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,6c20de43f56e37f8ca8be6d0,2023-10-12T14:30:00+00:00
ORBSUSDT,binance-futures,2023-10-17T05:30:00+00:00,2023-10-17T12:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,525708299058a330fb701cef,2023-10-17T06:00:00+00:00
BSVUSDT,binance-futures,2023-10-20T12:00:00+00:00,2023-10-20T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,b6b050a77e7ba560ac45accb,2023-10-20T12:30:00+00:00
TOKENUSDT,binance-futures,2023-11-03T14:30:00+00:00,2023-11-03T21:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,0203a2e2313bf3decb1ca01a,2023-11-03T15:00:00+00:00
KASUSDT,binance-futures,2023-11-17T01:30:00+00:00,2023-11-17T08:00:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,3c3028d3750531b66a53cf7c,2023-11-17T02:00:00+00:00
ETHWUSDT,binance-futures,2023-11-28T12:00:00+00:00,2023-11-28T18:30:00+00:00,"trades,L2,bookTicker,mark,index,funding,OI",tick_l2_upgrade_optional (Vision bookDepth is 1-min snapshots; bookTicker absent for new symbols),P1,True,False,aggTrades;bookDepth;fundingRate;indexPriceKlines;markPriceKlines;metrics;premiumIndexKlines,b4883000a6fb5da32096f7b6,2023-11-28T12:30:00+00:00
