event_id,asset,binance_symbol,mexc_symbol,mexc_market,t0,mexc_listed_ts,tape_status,daily_rows,hourly_rows,first_venue,listing_age_days_at_binance_open,pre_binance_return_30d,pre_binance_return_14d,pre_binance_return_7d,pre_binance_return_3d,pre_binance_return_24h,pre_binance_volatility_7d,pre_binance_volume_7d,pre_binance_volume_24h,pre_binance_range_7d,pre_binance_max_drawdown_7d,pre_binance_pump_score,pre_binance_exhaustion_score,pre_binance_liquidity_proxy,data_source,coverage_status
771eb47c3fcc81c52c724335,1000PEPE,1000PEPEUSDT,PEPEUSDT,spot,2023-05-05T16:30:00+00:00,2023-04-19T07:35:00+00:00,collected,16,71,mexc,16.37,6.752272,5.96274,3.412188,0.834081,1.241482,0.284579,227248836.77,105958315.61,5.644291,-0.29734,4.5319,0.1784,36380460.59,mexc spot klines,full
8f9346145d6137459b8f23c9,ARK,ARKUSDT,ARKUSDT,spot,2023-09-19T16:03:00+00:00,2022-02-18T14:00:00+00:00,collected,29,71,mexc,578.09,0.936179,0.646957,0.583444,-0.018141,0.351234,0.106175,777648.57,223369.82,1.178932,-0.183439,2.077,0.1101,107551.7,mexc spot klines,full
b6b050a77e7ba560ac45accb,BSV,BSVUSDT,BSVUSDT,spot,2023-10-20T12:30:00+00:00,2018-11-07T05:00:00+00:00,collected,29,71,mexc,1808.31,0.3673,0.194185,0.259393,0.04628,0.255744,0.053063,865352.32,636850.57,0.32477,-0.065207,1.8476,0.0391,173027.11,mexc spot klines,full
0203a2e2313bf3decb1ca01a,TOKEN,TOKENUSDT,TOKENUSDT,spot,2023-11-03T15:00:00+00:00,2023-11-03T10:00:00+00:00,collected,0,5,mexc,0.21,,,,,0.06433,,,2626321.44,,,,,,mexc spot klines,partial
3c3028d3750531b66a53cf7c,KAS,KASUSDT,KAS_USDT,perp,2023-11-17T02:00:00+00:00,2022-11-28T11:52:18+00:00,collected,29,72,mexc,353.59,1.745094,1.114377,0.422164,0.070493,0.172399,0.11874,593513528.69,251655499.39,0.948718,-0.171776,1.3438,0.1031,58774818.83,mexc perp klines,full
b4883000a6fb5da32096f7b6,ETHW,ETHWUSDT,ETHWUSDT,spot,2023-11-28T12:30:00+00:00,2022-08-08T04:00:00+00:00,collected,29,71,mexc,477.35,1.201964,0.909976,0.972362,0.105245,0.011096,0.111354,5347218.21,2330506.88,1.28836,-0.092486,3.3004,0.0555,1050111.62,mexc spot klines,full
7f4b196e58663442894e9aef,WIF,WIFUSDT,WIFUSDT,spot,2024-01-18T14:15:00+00:00,2023-12-19T13:00:00+00:00,collected,29,71,mexc,30.05,1.341999,2.741885,1.008807,0.456293,0.176585,0.172227,17537830.11,5069170.57,1.492227,-0.257496,2.2139,0.1545,3069341.59,mexc spot klines,full
16d2301813546604bccc72c1,MYRO,MYROUSDT,MYROUSDT,spot,2024-03-05T08:30:00+00:00,2023-11-21T14:00:00+00:00,collected,29,71,mexc,104.77,1.220834,1.320422,0.850122,-0.077899,0.375227,0.179749,41653549.38,17243474.48,2.100775,-0.221562,1.7876,0.1329,6260263.3,mexc spot klines,full
f43f9a7538849c554a17a309,BOME,BOMEUSDT,BOMEUSDT,spot,2024-03-16T12:30:00+00:00,2024-03-14T16:30:00+00:00,collected,2,44,mexc,1.83,4.110553,4.110553,4.110553,4.110553,2.160127,,,95634173.26,,,,,,mexc spot klines,full
ad82dcce37e5348b048e282d,1000CAT,1000CATUSDT,CATUSDT,spot,2024-10-21T12:30:00+00:00,2024-08-22T14:00:00+00:00,collected,29,71,mexc,59.94,-0.385432,-0.052209,-0.149607,0.026213,0.441711,0.058358,3674397.95,2730164.62,0.413843,-0.247954,-0.969,0.1488,533929.77,mexc spot klines,full
