symbol,period,leader,horizon_ms,n_total,n_nonzero_trail,corr_nonzero,q0_bps,q4_bps,top_minus_bottom_bps,unconditional_mean_bps
BTCUSDT,A_early,binance,250,497362,93016,0.2781858951654577,-0.02820979020513474,0.030413177125925735,0.058622967331060476,8.895355609230926e-05
BTCUSDT,A_early,binance,500,497361,93016,0.2928137398836117,-0.045584728104660535,0.050639832592044756,0.09622456069670529,0.000177907469886795
BTCUSDT,A_early,binance,1000,497359,93014,0.2896292931086297,-0.07303889481925913,0.07880914992524725,0.15184804474450636,0.00035581637059092623
BTCUSDT,A_early,binance,2000,497355,93014,0.24772339819840025,-0.1024430330876049,0.1132722326973426,0.21571526578494749,0.0007116384645202419
BTCUSDT,A_early,binance,5000,497343,93010,0.1894857100701591,-0.1476312085451374,0.1857880879752803,0.3334192965204177,0.0017791390877194657
BTCUSDT,A_early,bybit,250,497362,44155,0.24306768996794545,-0.05403707846027807,0.05422578182764691,0.10826286028792498,8.706980810895078e-05
BTCUSDT,A_early,bybit,500,497361,44155,0.2673913089853415,-0.08801933747603903,0.08949578266153647,0.1775151201375755,0.00017413996634510538
BTCUSDT,A_early,bybit,1000,497359,44155,0.26081414353501026,-0.13834588080110582,0.14252585740171908,0.2808717382028249,0.00034828133320747375
BTCUSDT,A_early,bybit,2000,497355,44155,0.23605454762850583,-0.20501930047351397,0.21706899504093602,0.42208829551445,0.0006966317560966209
BTCUSDT,A_early,bybit,5000,497343,44155,0.20296020414891136,-0.2890698443946376,0.3873391957375858,0.6764090401322234,0.001741748389601368
BTCUSDT,A_early,okx,250,497362,63749,0.2865880294559439,-0.03931415697278046,0.04643257910923017,0.08574673608201064,8.895355609230926e-05
BTCUSDT,A_early,okx,500,497361,63749,0.3026557907746777,-0.06398235245083005,0.0766901866732708,0.14067253912410083,0.000177907469886795
BTCUSDT,A_early,okx,1000,497359,63749,0.304697130649339,-0.09780351449937974,0.11810605916940395,0.2159095736687837,0.00035581637059092623
BTCUSDT,A_early,okx,2000,497355,63747,0.27963432531318505,-0.14759545447209466,0.17214907913079738,0.319744533602892,0.0007116384645202419
BTCUSDT,A_early,okx,5000,497343,63743,0.22087485017921515,-0.2152887819500591,0.28110475168911553,0.4963935336391746,0.0017791390877194655
BTCUSDT,A_early,hyperliquid,250,497362,44077,0.0990375744060186,-0.01509135849035832,0.01656866396284061,0.03166002245319893,8.706980810895078e-05
BTCUSDT,A_early,hyperliquid,500,497361,44077,0.08831328360955058,-0.02218314024484028,0.026321720290445855,0.04850486053528613,0.00017413996634510538
BTCUSDT,A_early,hyperliquid,1000,497359,44077,0.09724743149085063,-0.0298709846342464,0.04339802076187613,0.07326900539612252,0.00034828133320747375
BTCUSDT,A_early,hyperliquid,2000,497355,44077,0.09775306882615094,-0.050300731093280794,0.06596389813877342,0.11626462923205422,0.0006966317560966209
BTCUSDT,A_early,hyperliquid,5000,497343,44077,0.07363076883107224,-0.06619805525920743,0.12946964179232395,0.19566769705153136,0.0017417483896013674
BTCUSDT,B_late,binance,250,15222,5240,0.13575204191449203,-0.020936749083486025,0.028651730619757333,0.04958847970324336,0.0015762971239169402
BTCUSDT,B_late,binance,500,15221,5239,0.1713549624495123,-0.034206631021788565,0.049491331796391994,0.08369796281818057,0.0031528013691956725
BTCUSDT,B_late,binance,1000,15219,5239,0.18403015313644033,-0.04212989568043422,0.0816814639977178,0.12381135967815202,0.006287865450451029
BTCUSDT,B_late,binance,2000,15215,5236,0.17992439850713687,-0.07096381324402287,0.10841269727344753,0.1793765105174704,0.012559620074056112
BTCUSDT,B_late,binance,5000,15203,5230,0.16148541260732277,-0.12156961381401275,0.18387117826014662,0.30544079207415936,0.031185586443225
BTCUSDT,B_late,bybit,250,15222,2930,0.13051060881515988,-0.033216615385320114,0.05279344977188715,0.08601006515720727,0.001594856957474268
BTCUSDT,B_late,bybit,500,15221,2929,0.2201322137417039,-0.05888717223257731,0.08853032849958425,0.14741750073216156,0.0031899234750244147
BTCUSDT,B_late,bybit,1000,15219,2929,0.2515950947588584,-0.09597701585922278,0.14720636273948326,0.24318337859870603,0.006378997603852573
BTCUSDT,B_late,bybit,2000,15215,2927,0.24248851174078595,-0.1332427399083543,0.19580202580736575,0.32904476571572006,0.01275965696827887
BTCUSDT,B_late,bybit,5000,15203,2923,0.2108334170482558,-0.2228302303274967,0.3379715183607218,0.5608017486882185,0.03175241522059737
BTCUSDT,B_late,okx,250,15222,4168,0.13715957115661787,-0.026897984365934904,0.041530348032560144,0.06842833239849505,0.001594856957474268
BTCUSDT,B_late,okx,500,15221,4168,0.16079516606573524,-0.04457983408176685,0.06173415123462979,0.10631398531639663,0.0031899234750244147
BTCUSDT,B_late,okx,1000,15219,4168,0.18086756454831313,-0.0680302294124031,0.08083710280025475,0.14886733221265785,0.006378997603852573
BTCUSDT,B_late,okx,2000,15215,4168,0.17250682398038245,-0.09884491580934154,0.10557745585072147,0.204422371660063,0.01275965696827887
BTCUSDT,B_late,okx,5000,15203,4164,0.15261271315848512,-0.15273443300893294,0.1616933744155836,0.31442780742451654,0.031924316880278025
BTCUSDT,B_late,hyperliquid,250,15222,4070,0.030525852119305554,0.001719440460564089,0.0032296164776809137,0.0015101760171168247,0.0015762971239169402
BTCUSDT,B_late,hyperliquid,500,15221,4070,0.026453181786524723,0.0032992425896787715,0.0050911301016689555,0.001791887511990184,0.0031528013691956725
BTCUSDT,B_late,hyperliquid,1000,15219,4070,0.026314958273437803,-0.0014163625793557513,0.0024291906273717265,0.003845553206727478,0.006287865450451029
BTCUSDT,B_late,hyperliquid,2000,15215,4070,0.025732341165502277,-0.0018566177906029194,0.038529247939680454,0.040385865730283375,0.012559620074056112
BTCUSDT,B_late,hyperliquid,5000,15203,4067,0.0494622885263996,-0.010994555298191157,0.09291025049920987,0.10390480579740102,0.031357488102905645
