venue,period,side,n_sweep_events,low_refill_continuation_bps,high_refill_continuation_bps,low_minus_high_bps,unconditional_mean_continuation_bps,n_low_refill,n_high_refill
binance,A_early,bid,1905,0.1784488305557531,0.2939911691730894,-0.11554233861733626,0.20408590288079095,635,635
binance,A_early,ask,2168,0.027488701424488855,0.18639115595038816,-0.1589024545258993,0.038764206379111696,723,722
binance,B_late,bid,1981,-0.024127410848049338,0.3775975883310595,-0.4017249991791088,0.12810054112070882,661,660
binance,B_late,ask,2068,-0.022030571649663874,0.30977786448265815,-0.331808436132322,0.1176638020812008,691,689
okx,A_early,bid,290,0.5737469326333169,0.5866901474252252,-0.012943214791908297,0.5278261355810382,97,97
okx,A_early,ask,386,0.1633036423192134,0.34244880617477114,-0.17914516385555773,0.2511942338401701,129,129
okx,B_late,bid,168,0.7144856119288358,0.5786274582094845,0.13585815371935128,0.6159364720196133,56,56
okx,B_late,ask,267,0.41989751948227233,0.6324908993985948,-0.2125933799163225,0.5019836629747367,89,89
bybit,A_early,bid,1110,0.5688524737489465,0.8107165740319286,-0.2418641002829821,0.6549628698734152,370,369
bybit,A_early,ask,410,0.045551376135051044,0.8235570095410851,-0.7780056334060341,0.3812020178873263,137,137
bybit,B_late,bid,1245,0.9897734222685967,1.0958808963503068,-0.10610747408171017,0.9594598492992549,415,415
bybit,B_late,ask,430,0.08853309152432073,0.5955231106126379,-0.5069900190883171,0.3497840000641402,144,143
