period,leader,shock,horizon_ms,n_total,n_shocked,fwd_loo_return_bps_after_shock,fwd_loo_return_bps_unconditional,diff_bps
A_early,binance,spread_widening_bps,250,102969,102212,-0.0001222877298905256,9.43374834808976e-06,-0.00013172147823861536
A_early,binance,spread_widening_bps,1000,102966,102209,-0.00027814692417185884,3.773609283275856e-05,-0.0003158830170046174
A_early,binance,spread_widening_bps,5000,102950,102193,-0.0005356850679210026,0.0001914824922569334,-0.0007271675601779361
A_early,binance,depth_drop_pct,250,102969,5149,-0.000255610811748634,9.43374834808976e-06,-0.00026504456009672375
A_early,binance,depth_drop_pct,1000,102966,5149,-0.0011185524875148472,3.773609283275856e-05,-0.0011562885803476058
A_early,binance,depth_drop_pct,5000,102950,5148,-0.0042880747687665125,0.0001914824922569334,-0.004479557261023446
A_early,okx,spread_widening_bps,250,102699,101953,-0.00011907786984621276,-3.088353695312523e-06,-0.00011598951615090024
A_early,okx,spread_widening_bps,1000,102696,101950,-0.0003536399208323197,-1.2353775654549382e-05,-0.0003412861451777703
A_early,okx,spread_widening_bps,5000,102680,101934,-0.0005978627819558474,-6.146977817757029e-05,-0.0005363930037782771
A_early,okx,depth_drop_pct,250,102699,5135,0.00075851778888164,-3.088353695312523e-06,0.0007616061425769526
A_early,okx,depth_drop_pct,1000,102696,5135,-0.002929651157899531,-1.2353775654549382e-05,-0.0029172973822449814
A_early,okx,depth_drop_pct,5000,102680,5134,-0.007882738714008613,-6.146977817757029e-05,-0.007821268935831042
B_late,binance,spread_widening_bps,250,10076,9687,0.0005903440501458528,0.0017616695153706901,-0.0011713254652248374
B_late,binance,spread_widening_bps,1000,10073,9684,0.005195206704017037,0.007048776744515069,-0.0018535700404980317
B_late,binance,spread_widening_bps,5000,10057,9668,0.027423373408781652,0.03505673457332677,-0.007633361164545115
B_late,binance,depth_drop_pct,250,10076,504,0.0029914429744955164,0.0017616695153706901,0.0012297734591248262
B_late,binance,depth_drop_pct,1000,10073,504,-0.0009160610507542348,0.007048776744515069,-0.007964837795269304
B_late,binance,depth_drop_pct,5000,10057,503,0.022399843253677054,0.03505673457332677,-0.012656891319649713
B_late,okx,spread_widening_bps,250,10076,9646,0.0004165889799483666,0.0017208523893799696,-0.001304263409431603
B_late,okx,spread_widening_bps,1000,10073,9643,0.0044601787707481385,0.006885459614967764,-0.0024252808442196258
B_late,okx,spread_widening_bps,5000,10057,9627,0.025651224772851117,0.03448206955432549,-0.008830844781474376
B_late,okx,depth_drop_pct,250,10076,504,0.014026540628704377,0.0017208523893799696,0.012305688239324408
B_late,okx,depth_drop_pct,1000,10073,504,0.012273354111825435,0.006885459614967764,0.00538789449685767
B_late,okx,depth_drop_pct,5000,10057,503,0.011500453926640198,0.03448206955432549,-0.022981615627685296
