symbol,horizon,year,n,mean_pnl_bps
BTCUSDT,15m,2023,576,1.0968005258686169
BTCUSDT,15m,2024,379,-2.0451050650776468
BTCUSDT,15m,2025,302,-0.8189364245972772
BTCUSDT,15m,2026,135,1.4259910231152269
BTCUSDT,1h,2023,576,1.1577305907091595
BTCUSDT,1h,2024,379,-1.393772849446046
BTCUSDT,1h,2025,302,-1.4413232133146354
BTCUSDT,1h,2026,135,3.1501352634751147
BTCUSDT,4h,2023,576,-0.29388994713728617
BTCUSDT,4h,2024,379,0.06712390042934813
BTCUSDT,4h,2025,302,5.6376369958798405
BTCUSDT,4h,2026,135,-1.3580482610896216
ETHUSDT,15m,2023,561,2.6985855515431054
ETHUSDT,15m,2024,372,0.9983970574595153
ETHUSDT,15m,2025,330,1.2002952113914156
ETHUSDT,15m,2026,121,-1.597062181831415
ETHUSDT,1h,2023,561,-2.635011992969301
ETHUSDT,1h,2024,372,2.5122719275054934
ETHUSDT,1h,2025,330,-1.007178111801584
ETHUSDT,1h,2026,121,-3.7749781237875726
ETHUSDT,4h,2023,561,-3.6463509482001517
ETHUSDT,4h,2024,372,1.8270512962696972
ETHUSDT,4h,2025,330,-7.272384303145279
ETHUSDT,4h,2026,121,-2.3208681843335235
SOLUSDT,15m,2023,341,-6.133487529629356
SOLUSDT,15m,2024,356,-2.041103602904125
SOLUSDT,15m,2025,308,-1.6847882449275189
SOLUSDT,15m,2026,151,6.8682370465833555
SOLUSDT,1h,2023,341,-9.65282580466303
SOLUSDT,1h,2024,356,-3.1344674391604053
SOLUSDT,1h,2025,308,-4.014186230668727
SOLUSDT,1h,2026,151,1.9167611418043562
SOLUSDT,4h,2023,341,-12.030357594835404
SOLUSDT,4h,2024,356,-14.101641167832533
SOLUSDT,4h,2025,308,-15.088099257118785
SOLUSDT,4h,2026,151,22.12134975007862
BNBUSDT,15m,2023,162,-2.971936173262979
BNBUSDT,15m,2024,177,5.760413187974271
BNBUSDT,15m,2025,96,-3.30845376588849
BNBUSDT,15m,2026,88,0.6242157108280668
BNBUSDT,1h,2023,162,-5.818910675627897
BNBUSDT,1h,2024,177,1.7160761574822596
BNBUSDT,1h,2025,96,2.1714642900224255
BNBUSDT,1h,2026,88,-2.060639506298514
BNBUSDT,4h,2023,162,-8.579647459258359
BNBUSDT,4h,2024,177,6.300934019782246
BNBUSDT,4h,2025,96,24.480490704525128
BNBUSDT,4h,2026,88,-1.352699198505982
XRPUSDT,15m,2023,517,0.4002054743713367
XRPUSDT,15m,2024,410,-4.2850766727690495
XRPUSDT,15m,2025,378,3.9661888960371487
XRPUSDT,15m,2026,136,2.809031229275703
XRPUSDT,1h,2023,517,1.4906168190540319
XRPUSDT,1h,2024,410,-10.903693736069883
XRPUSDT,1h,2025,378,4.283330424207448
XRPUSDT,1h,2026,136,-5.028905074602056
XRPUSDT,4h,2023,517,-7.551404261930073
XRPUSDT,4h,2024,410,-10.264094029877354
XRPUSDT,4h,2025,378,-9.983660585915118
XRPUSDT,4h,2026,136,-9.07656561248039
ADAUSDT,15m,2023,581,3.285746007933285
ADAUSDT,15m,2024,412,-3.665895171036107
ADAUSDT,15m,2025,458,2.2102244212992557
ADAUSDT,15m,2026,182,2.2823665560623607
ADAUSDT,1h,2023,581,6.373394763318498
ADAUSDT,1h,2024,412,-11.625504040801145
ADAUSDT,1h,2025,458,3.4733684064979196
ADAUSDT,1h,2026,182,-3.8258646081186343
ADAUSDT,4h,2023,581,2.7278824507999504
ADAUSDT,4h,2024,412,-14.02349566435167
ADAUSDT,4h,2025,458,3.302496799744006
ADAUSDT,4h,2026,182,1.482412060542763
DOGEUSDT,15m,2023,580,1.7609172901524097
DOGEUSDT,15m,2024,425,-2.4153394529183845
DOGEUSDT,15m,2025,389,-4.403667346343703
DOGEUSDT,15m,2026,155,-4.0453962806326
DOGEUSDT,1h,2023,580,1.7683104157729321
DOGEUSDT,1h,2024,425,-19.04037442123936
DOGEUSDT,1h,2025,389,-1.7064528525931957
DOGEUSDT,1h,2026,155,-2.667441389779805
DOGEUSDT,4h,2023,580,-3.0959232306099933
DOGEUSDT,4h,2024,425,-32.5557680807536
DOGEUSDT,4h,2025,389,8.49661673936122
DOGEUSDT,4h,2026,155,2.4088120070582324
AVAXUSDT,15m,2023,376,0.9829143830646772
AVAXUSDT,15m,2024,265,-1.7962883833280905
AVAXUSDT,15m,2025,401,-0.6972183609990351
AVAXUSDT,15m,2026,133,-8.078091735990068
AVAXUSDT,1h,2023,376,-2.126309056562672
AVAXUSDT,1h,2024,265,0.11605306725972779
AVAXUSDT,1h,2025,401,3.327188393544191
AVAXUSDT,1h,2026,133,7.062489850125326
AVAXUSDT,4h,2023,376,-7.0838921704098405
