symbol,episode_id,regime,entry_date,n_days_in_episode,entry_ann_basis_pct,entry_raw_basis_pct,horizon,pnl_bps
BTCUSDT,BTCUSDT_2,RICH,2021-02-04,28,26.7,3.65,k1d,-21.7
BTCUSDT,BTCUSDT_2,RICH,2021-02-04,28,26.7,3.65,k3d,-83.1
BTCUSDT,BTCUSDT_2,RICH,2021-02-04,28,26.7,3.65,k7d,-209.8
BTCUSDT,BTCUSDT_2,RICH,2021-02-04,28,26.7,3.65,k14d,-188.9
BTCUSDT,BTCUSDT_4,RICH,2021-03-05,19,23.1,1.33,k1d,12.4
BTCUSDT,BTCUSDT_4,RICH,2021-03-05,19,23.1,1.33,k3d,-13.0
BTCUSDT,BTCUSDT_4,RICH,2021-03-05,19,23.1,1.33,k7d,-31.3
BTCUSDT,BTCUSDT_4,RICH,2021-03-05,19,23.1,1.33,k14d,66.1
BTCUSDT,BTCUSDT_7,RICH,2021-03-26,28,21.9,5.45,k1d,-82.3
BTCUSDT,BTCUSDT_7,RICH,2021-03-26,28,21.9,5.45,k3d,-159.1
BTCUSDT,BTCUSDT_7,RICH,2021-03-26,28,21.9,5.45,k7d,-296.4
BTCUSDT,BTCUSDT_7,RICH,2021-03-26,28,21.9,5.45,k14d,-239.7
BTCUSDT,BTCUSDT_11,RICH,2021-04-26,8,23.6,3.87,k1d,25.7
BTCUSDT,BTCUSDT_11,RICH,2021-04-26,8,23.6,3.87,k3d,29.8
BTCUSDT,BTCUSDT_11,RICH,2021-04-26,8,23.6,3.87,k7d,24.9
BTCUSDT,BTCUSDT_11,RICH,2021-04-26,8,23.6,3.87,k14d,70.0
BTCUSDT,BTCUSDT_13,RICH,2021-05-05,7,29.0,4.05,k1d,53.2
BTCUSDT,BTCUSDT_13,RICH,2021-05-05,7,29.0,4.05,k3d,-20.8
BTCUSDT,BTCUSDT_13,RICH,2021-05-05,7,29.0,4.05,k7d,166.0
BTCUSDT,BTCUSDT_13,RICH,2021-05-05,7,29.0,4.05,k14d,298.1
BTCUSDT,BTCUSDT_15,RICH,2021-05-13,1,21.7,2.56,k1d,31.8
BTCUSDT,BTCUSDT_15,RICH,2021-05-13,1,21.7,2.56,k3d,61.4
BTCUSDT,BTCUSDT_15,RICH,2021-05-13,1,21.7,2.56,k7d,144.3
BTCUSDT,BTCUSDT_15,RICH,2021-05-13,1,21.7,2.56,k14d,191.9
BTCUSDT,BTCUSDT_38,CHEAP,2021-06-05,4,1.1,0.06,k1d,-3.3
BTCUSDT,BTCUSDT_38,CHEAP,2021-06-05,4,1.1,0.06,k3d,-10.5
BTCUSDT,BTCUSDT_38,CHEAP,2021-06-05,4,1.1,0.06,k7d,24.4
BTCUSDT,BTCUSDT_38,CHEAP,2021-06-05,4,1.1,0.06,k14d,131.7
BTCUSDT,BTCUSDT_79,CHEAP,2021-07-19,2,1.5,0.27,k1d,2.4
BTCUSDT,BTCUSDT_79,CHEAP,2021-07-19,2,1.5,0.27,k3d,28.4
BTCUSDT,BTCUSDT_79,CHEAP,2021-07-19,2,1.5,0.27,k7d,55.4
BTCUSDT,BTCUSDT_79,CHEAP,2021-07-19,2,1.5,0.27,k14d,71.2
