symbol,test,K,n_events,p_cond,p_uncond,lift,mean_pnl_bps,uncond_mean_bps,tstat
BTCUSDT,propagation,5,2533,0.8606395578365574,0.20947215973869904,4.108610704688114,,,
BTCUSDT,propagation,15,2533,0.9107777339123568,0.32169599112562786,2.831175268070662,,,
BTCUSDT,propagation,30,2533,0.9384129490722464,0.4322250639386189,2.171121083356499,,,
BTCUSDT,tradeable_momentum,5,2533,,,,0.8310641351247807,0.964267680646939,1.3267435521108462
BTCUSDT,tradeable_momentum,15,2533,,,,-0.8196197618746641,1.2432139992666629,-0.8677474447772924
BTCUSDT,tradeable_momentum,30,2533,,,,-3.7073828831834827,1.243282963743021,-2.9114891995816907
ETHUSDT,propagation,5,2260,0.8207964601769911,0.19200073953101407,4.274965097436029,,,
ETHUSDT,propagation,15,2260,0.8823008849557522,0.30289957785104615,2.912849503506513,,,
ETHUSDT,propagation,30,2260,0.9154867256637168,0.4135827196253043,2.2135516843961107,,,
ETHUSDT,tradeable_momentum,5,2260,,,,-0.5542088817092434,0.7629850120812756,-0.6243728114911644
ETHUSDT,tradeable_momentum,15,2260,,,,-3.479817117210066,0.4044843965972121,-2.504683977720815
ETHUSDT,tradeable_momentum,30,2260,,,,-5.273684829212935,-0.04087339740325228,-2.7458726582431368
SOLUSDT,propagation,5,2708,0.8511816838995568,0.2686392356295269,3.168493544529729,,,
SOLUSDT,propagation,15,2708,0.8980797636632201,0.4037293881954076,2.2244597245631863,,,
SOLUSDT,propagation,30,2708,0.9423929098966026,0.5244567730004623,1.7968933921953028,,,
SOLUSDT,tradeable_momentum,5,2708,,,,-2.02196802647079,0.8893280883864259,-1.9203977583300453
SOLUSDT,tradeable_momentum,15,2708,,,,-4.835052769002627,0.9448144771798626,-2.959565559073726
SOLUSDT,tradeable_momentum,30,2708,,,,-9.432578828198452,0.737026222143415,-4.445189752729558
BNBUSDT,propagation,5,32250,0.999968992248062,0.999968992248062,1.0,,,
BNBUSDT,propagation,15,32250,0.999968992248062,0.999968992248062,1.0,,,
BNBUSDT,propagation,30,32250,0.999968992248062,0.999968992248062,1.0,,,
BNBUSDT,tradeable_momentum,5,32245,,,,0.41213305436438946,0.41213305436438946,10.230474142433478
BNBUSDT,tradeable_momentum,15,32235,,,,0.8488294313753016,0.8488294313753016,13.019464124031456
BNBUSDT,tradeable_momentum,30,32220,,,,1.0941290893894617,1.0941290893894617,10.596489904176398
XRPUSDT,propagation,5,4859,1.0,0.999969181459566,1.0000308194902456,,,
