name,fwd,n,gross_bps,net_bps,net_stress_bps,t,p,h1_excess,h2_excess,stable
M1a_crowd_LSR_extreme_HIGH(fade),fwd_4h,1298,13.36,3.36,-1.64,4.89,0.0,3.32,19.23,True
M1b_crowd_LSR_extreme_LOW(fade),fwd_4h,1069,25.36,15.36,10.36,7.16,0.0,6.14,50.29,True
M1a_crowd_LSR_extreme_HIGH(fade),fwd_24h,1268,88.83,78.83,73.83,12.08,0.0,55.11,105.99,True
M1b_crowd_LSR_extreme_LOW(fade),fwd_24h,1051,118.35,108.35,103.35,11.43,0.0,-4.99,283.66,False
M2a_topAcct_LSR_extreme_HIGH,fwd_4h,1194,14.78,4.78,-0.22,5.07,0.0,8.39,16.54,True
M2b_topAcct_LSR_extreme_LOW,fwd_4h,1209,25.14,15.14,10.14,7.58,0.0,4.98,47.8,True
M2a_topAcct_LSR_extreme_HIGH,fwd_24h,1171,65.61,55.61,50.61,9.84,0.0,21.06,79.64,True
M2b_topAcct_LSR_extreme_LOW,fwd_24h,1170,118.9,108.9,103.9,12.69,0.0,-1.2,265.24,False
M3a_topPos_LSR_extreme_HIGH,fwd_4h,2041,7.01,-2.99,-7.99,4.46,0.0,-5.48,13.75,False
M3b_topPos_LSR_extreme_LOW,fwd_4h,958,0.66,-9.34,-14.34,2.81,0.005,9.27,-6.72,False
M3a_topPos_LSR_extreme_HIGH,fwd_24h,2034,2.66,-7.34,-12.34,6.81,0.0,-34.74,16.6,False
M3b_topPos_LSR_extreme_LOW,fwd_24h,896,-0.72,-10.72,-15.72,5.84,0.0,22.81,-3.27,False
M4a_topVsCrowd_divergence_HIGH,fwd_4h,869,3.5,-6.5,-11.5,3.43,0.0006,-2.74,7.68,False
M4b_topVsCrowd_divergence_LOW,fwd_4h,1378,16.71,6.71,1.71,5.92,0.0,2.49,33.57,True
M4a_topVsCrowd_divergence_HIGH,fwd_24h,863,13.23,3.23,-1.77,5.76,0.0,-21.09,34.89,False
M4b_topVsCrowd_divergence_LOW,fwd_24h,1361,61.4,51.4,46.4,10.47,0.0,35.0,100.99,True
M5a_whaleVsTopAcct_divergence_HIGH,fwd_4h,1542,15.42,5.42,0.42,5.52,0.0,0.25,23.51,True
M5b_whaleVsTopAcct_divergence_LOW,fwd_4h,951,9.25,-0.75,-5.75,4.43,0.0,7.14,11.59,True
M5a_whaleVsTopAcct_divergence_HIGH,fwd_24h,1528,46.1,36.1,31.1,8.55,0.0,-36.22,88.31,False
M5b_whaleVsTopAcct_divergence_LOW,fwd_24h,898,66.25,56.25,51.25,9.69,0.0,45.54,93.63,True
M6a_LSR_momentum_UP,fwd_4h,747,8.73,-1.27,-6.27,2.95,0.0033,8.79,9.34,True
M6b_LSR_momentum_DOWN,fwd_4h,744,24.22,14.22,9.22,6.04,0.0,9.92,36.24,True
M6a_LSR_momentum_UP,fwd_24h,704,78.09,68.09,63.09,8.31,0.0,54.87,107.65,True
M6b_LSR_momentum_DOWN,fwd_24h,744,134.43,124.43,119.43,10.91,0.0,63.58,192.53,True
M7a_divergence_moreLONG_whilePriceFalls,fwd_4h,2667,-3.49,-13.49,-18.49,3.16,0.0016,4.85,-10.54,False
M7b_divergence_moreSHORT_whilePriceRises,fwd_4h,3056,2.36,-7.64,-12.64,4.6,0.0,-4.14,10.25,False
M7a_divergence_moreLONG_whilePriceFalls,fwd_24h,2581,-26.24,-36.24,-41.24,5.18,0.0,5.9,-48.58,False
M7b_divergence_moreSHORT_whilePriceRises,fwd_24h,3054,13.2,3.2,-1.8,9.06,0.0,-20.91,53.96,False
M8a_taker_buy_pressure_extreme,fwd_1h,698,0.57,-9.43,-14.43,1.7,0.0896,1.28,-0.04,False
M8b_taker_sell_pressure_extreme,fwd_1h,21,-14.7,-24.7,-29.7,-1.02,0.3179,-11.2,-16.65,True
M8a_taker_buy_pressure_extreme,fwd_4h,695,-5.81,-15.81,-20.81,0.74,0.4618,2.78,-13.09,False
M8b_taker_sell_pressure_extreme,fwd_4h,21,-40.15,-50.15,-55.15,-0.94,0.3586,-10.37,-52.28,True
M9a_crossSectional_mostCrowdedLONG,fwd_4h,4189,-0.17,-10.17,-15.17,4.12,0.0,-1.81,2.66,False
M9b_crossSectional_mostCrowdedSHORT,fwd_4h,194,10.94,0.94,-4.06,2.34,0.0201,,2.81,False
M9a_crossSectional_mostCrowdedLONG,fwd_24h,4109,6.4,-3.6,-8.6,10.21,0.0,-4.69,25.41,False
M9b_crossSectional_mostCrowdedSHORT,fwd_24h,194,34.72,24.72,19.72,3.98,0.0001,,-15.07,False
