asset,feature,feat_kind,horizon,n,pearson_r,ci95_lo,ci95_hi,sig_excl_0
BTCUSDT,btc_dominance,chg,fwd1d,20,0.443,-0.249,0.826,False
ETHUSDT,total_mcap_usd,level,fwd3d,23,-0.361,-0.551,-0.187,True
ETHUSDT,btc_dominance,level,fwd3d,23,-0.356,-0.547,-0.163,True
BTCUSDT,mcap_change_24h,level,fwd1d,25,0.335,-0.291,0.668,False
BTCUSDT,total_mcap_usd,level,fwd3d,23,-0.329,-0.537,-0.09,True
BTCUSDT,news_count,level,fwd3d,47,0.323,-0.037,0.544,False
BTCUSDT,btc_dominance,level,fwd3d,23,-0.318,-0.52,-0.078,True
BTCUSDT,news_count,level,fwd1d,49,0.307,-0.096,0.58,False
BTCUSDT,mcap_change_24h,level,fwd3d,23,0.299,0.083,0.538,True
ETHUSDT,btc_dominance,chg,fwd1d,20,0.274,-0.521,0.844,False
ETHUSDT,news_count,level,fwd1d,49,0.256,-0.198,0.527,False
ETHUSDT,mcap_change_24h,level,fwd1d,25,0.248,-0.255,0.656,False
ETHUSDT,news_count,chg,fwd3d,46,0.229,-0.082,0.474,False
BTCUSDT,gdelt_tone,chg,fwd1d,31,0.228,-0.133,0.551,False
ETHUSDT,total_mcap_usd,level,fwd1d,25,-0.208,-0.436,0.107,False
BTCUSDT,total_mcap_usd,level,fwd1d,25,-0.202,-0.47,0.085,False
BTCUSDT,gdelt_vol,chg,fwd1d,28,0.2,-0.094,0.443,False
ETHUSDT,gdelt_vol,level,fwd3d,27,-0.2,-0.44,0.239,False
ETHUSDT,news_count,level,fwd3d,47,0.186,-0.19,0.445,False
ETHUSDT,btc_dominance,level,fwd1d,25,-0.183,-0.463,0.154,False
ETHUSDT,mcap_change_24h,level,fwd3d,23,0.178,-0.027,0.433,False
BTCUSDT,news_count,chg,fwd3d,46,0.176,-0.161,0.425,False
ETHUSDT,gdelt_tone,chg,fwd1d,31,0.171,-0.158,0.507,False
BTCUSDT,btc_dominance,chg,fwd3d,18,0.166,-0.084,0.531,False
BTCUSDT,mcap_change_24h,chg,fwd3d,18,0.158,-0.136,0.498,False
BTCUSDT,total_mcap_usd,chg,fwd1d,20,0.155,-0.438,0.662,False
BTCUSDT,btc_dominance,level,fwd1d,25,-0.152,-0.465,0.169,False
ETHUSDT,gdelt_vol,chg,fwd1d,28,0.149,-0.034,0.466,False
BTCUSDT,news_sentiment,chg,fwd1d,48,0.146,-0.082,0.337,False
BTCUSDT,mcap_change_24h,chg,fwd1d,20,0.138,-0.453,0.56,False
ETHUSDT,gdelt_tone,chg,fwd3d,29,-0.134,-0.507,0.178,False
ETHUSDT,mcap_change_24h,chg,fwd3d,18,0.124,-0.164,0.462,False
BTCUSDT,gdelt_vol,level,fwd3d,27,-0.116,-0.38,0.305,False
ETHUSDT,news_count,chg,fwd1d,48,0.114,-0.173,0.328,False
ETHUSDT,mcap_change_24h,chg,fwd1d,20,0.104,-0.311,0.547,False
BTCUSDT,news_sentiment,level,fwd1d,49,0.101,-0.095,0.296,False
ETHUSDT,news_sentiment,chg,fwd1d,48,0.095,-0.216,0.325,False
ETHUSDT,total_mcap_usd,chg,fwd3d,18,-0.094,-0.354,0.292,False
BTCUSDT,gdelt_tone,level,fwd1d,33,0.088,-0.286,0.389,False
BTCUSDT,gdelt_tone,chg,fwd3d,29,-0.088,-0.459,0.253,False
ETHUSDT,gdelt_vol,chg,fwd3d,26,0.085,-0.155,0.386,False
BTCUSDT,news_sentiment,level,fwd3d,47,0.084,-0.112,0.338,False
ETHUSDT,news_sentiment,level,fwd3d,47,0.082,-0.147,0.367,False
ETHUSDT,btc_dominance,chg,fwd3d,18,0.081,-0.173,0.545,False
BTCUSDT,news_count,chg,fwd1d,48,0.079,-0.138,0.275,False
BTCUSDT,gdelt_vol,chg,fwd3d,26,0.075,-0.165,0.363,False
ETHUSDT,gdelt_tone,level,fwd3d,31,0.059,-0.233,0.38,False
BTCUSDT,gdelt_vol,level,fwd1d,29,0.055,-0.333,0.447,False
BTCUSDT,total_mcap_usd,chg,fwd3d,18,0.05,-0.223,0.437,False
ETHUSDT,total_mcap_usd,chg,fwd1d,20,0.049,-0.489,0.689,False
ETHUSDT,gdelt_vol,level,fwd1d,29,-0.029,-0.362,0.549,False
ETHUSDT,news_sentiment,level,fwd1d,49,0.026,-0.151,0.236,False
BTCUSDT,gdelt_tone,level,fwd3d,31,0.026,-0.267,0.346,False
ETHUSDT,news_sentiment,chg,fwd3d,46,-0.025,-0.4,0.31,False
BTCUSDT,news_sentiment,chg,fwd3d,46,0.02,-0.36,0.337,False
ETHUSDT,gdelt_tone,level,fwd1d,33,0.004,-0.354,0.293,False
