spread_bps_bin,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,spread_bps_range
6,361547,304242,0.8415005517954789,1.2091271148702658,-5.036204140125292,-5.115477580347223,-5.827077025255027,-5.906350465476957,-4.903488532106863,-4.9701971757963435,"(1.865, 2.778]"
9,360028,209454,0.5817714177786172,3.33605115018832,-9.21535773964689,-9.608020090330097,-7.8793065894585705,-8.271968940141777,-4.583955365661713,-4.812395098126967,"(5.759, 241.823]"
7,360998,285922,0.7920320888204366,1.5803623953595312,-5.262693286980367,-5.322475290463833,-5.682330891620836,-5.742112895104302,-4.500588405459345,-4.547937670552225,"(2.778, 4.53]"
8,361940,224500,0.6202685527988064,2.631831336685638,-7.6384531848552335,-7.76121434298441,-7.006621848169596,-7.129383006298772,-4.345987193772654,-4.422132079665343,"(4.53, 5.759]"
3,366475,316350,0.863223957978034,0.6068867876389933,-2.65433247984827,-2.8072700806069224,-4.047445692209276,-4.2003832929679294,-3.493852090130035,-3.625871491180584,"(1.062, 1.318]"
5,357820,288817,0.8071572298921246,0.7500203580012296,-2.9597680884435467,-3.052599535345912,-4.2097477304423165,-4.302579177344683,-3.3979283166484784,-3.47285789017707,"(1.428, 1.865]"
2,361514,315451,0.8725830811531503,0.45409607788356754,-2.2506294479966766,-2.29038487752456,-3.796533370113109,-3.8362887996409927,-3.3127907857940504,-3.347480700984058,"(0.601, 1.062]"
4,358716,293349,0.817775064396347,0.683712460553753,-2.724115507467215,-2.769066333957163,-4.040403046913462,-4.08535387340341,-3.304140861876853,-3.340900526904339,"(1.318, 1.428]"
1,289893,260166,0.8974552679781851,0.07308614212830253,-1.326183705787843,-1.3432870167508437,-3.2530975636595407,-3.2702008746225415,-2.9195095457532543,-2.9348590022768684,"(0.053, 0.601]"
0,432370,393258,0.9095404399010107,0.015100928602817034,-1.165508215980349,-1.152989487817158,-3.150407287377532,-3.137888559214341,-2.8654228300287103,-2.8540365405081602,"(0.011, 0.053]"
