n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,spread_decile_in_sym,mean_spread_bps
417463,379432,0.9088997108725804,0.8140049237896534,-3.365957984566405,-3.605358509561661,-4.551953060776752,-4.791353585772008,-4.137268820845547,-4.354859888796479,0,1.6280098475793068
380065,327168,0.8608211753252734,0.9401932090563456,-3.388937029293818,-3.554628325508606,-4.448743820237472,-4.614435116452261,-3.829572884057867,-3.9722034604066496,1,1.8803864181126912
512512,432008,0.8429227022977023,0.7499875807785963,-2.8044941297383383,-2.8369238301142583,-4.054506548959742,-4.086936249335662,-3.4176356167328765,-3.444971347408452,2,1.4999751615571926
389147,315329,0.8103081868805362,0.9985576453114119,-3.3707541964107324,-3.394126642332293,-4.372196551099321,-4.395568997020881,-3.542826660006624,-3.561765544284287,3,1.9971152906228238
341978,270817,0.7919135149044675,1.1766697989344341,-3.944262952473441,-4.018325695949663,-4.767593153539007,-4.8416558970152295,-3.7755214518535496,-3.834172739363273,4,2.3533395978688683
329927,250792,0.7601439106226529,1.282854866379533,-4.065345226323009,-4.123994664901591,-4.782490359943476,-4.841139798522058,-3.6353809247225723,-3.679962938319519,5,2.565709732759066
317616,234898,0.7395660168253488,1.3358707700493684,-4.286990906691415,-4.227662602491295,-4.9511201366420465,-4.8917918324419265,-3.661680198280135,-3.6178030006578497,6,2.6717415400987368
325612,242886,0.7459368819330983,1.3148962185054607,-3.9931287105885076,-4.024487949078992,-4.678232492083047,-4.709591730573531,-3.4896661581025357,-3.513058170681924,7,2.6297924370109214
307962,225906,0.7335515420733727,1.4352104415479836,-4.271882907049834,-4.304071560737652,-4.8366724655018505,-4.868861119189669,-3.547948545572704,-3.5715605821226686,8,2.870420883095967
289019,212273,0.7344603641975095,1.7266349478754,-4.705897594135852,-4.938236469075201,-4.979262646260452,-5.211601521199801,-3.657071056607506,-3.8277147513127,9,3.4532698957508
