symbol,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300
PYTHUSDT,240782,197378,0.819737355782409,1.329650187721674,-5.252355683004185,-5.288592902957776,-5.922705495282512,-5.958942715236102,-4.8550629417808295,-4.884767944646491
FETUSDT,240617,138088,0.5738912878142443,3.4316985291978535,-9.719367866867508,-10.267505431319162,-8.287669337669655,-8.835806902121309,-4.756221229173863,-5.070792601936386
ORDIUSDT,240788,200254,0.8316610462315398,1.4311095569546655,-4.959727795699462,-4.99446353131523,-5.528618238744796,-5.563353974360564,-4.59793642864927,-4.626824786873102
ADAUSDT,240608,156080,0.648689985370395,2.7441002086381165,-7.668574064582265,-7.9068161840082,-6.924473855944148,-7.162715975370084,-4.491836844310092,-4.646382121275114
TIAUSDT,240749,191090,0.7937312304516322,1.472298794595201,-5.023544246166728,-5.060791250196242,-5.551245451571527,-5.588492455601042,-4.4061968828148945,-4.435760993153878
ARUSDT,240621,140983,0.5859131164777804,2.720972269668898,-8.154458409879204,-8.311346474397622,-7.433486140210306,-7.5903742047287235,-4.355377030705007,-4.4472998055251605
AVAXUSDT,240767,202146,0.8395918045247065,0.7490001723658142,-2.9698446172568347,-3.0934861931475264,-4.2208444448910205,-4.344486020781712,-3.543786404104135,-3.6475948579204793
SUIUSDT,240774,203047,0.843309493549968,0.6955919721398489,-2.8529181421050303,-2.932827670440834,-4.157326169965181,-4.237235698300985,-3.505912626915365,-3.5733010907860487
LINKUSDT,240768,208263,0.8649945175438597,0.5512878310240564,-2.5662660194081526,-2.6824267392671763,-4.014978188384096,-4.13113890824312,-3.472934121010421,-3.5734125068424247
DOGEUSDT,240759,196085,0.8144451505447357,0.6743057497331357,-2.732119641991993,-2.864442920162174,-4.057813892258857,-4.190137170429038,-3.304866846363285,-3.4126368985731705
SOLUSDT,240761,199238,0.8275343598007983,0.6282756239590298,-2.5891474016000964,-2.6282137443660347,-3.9608717776410667,-3.999938120407005,-3.27775749076325,-3.3100862317138193
XRPUSDT,240774,205180,0.8521684235008763,0.44526253457599235,-2.1501875913831756,-2.146740764207038,-3.704925056807183,-3.7014782296310456,-3.1572201448482717,-3.1542828675675025
BNBUSDT,240831,214519,0.8907449622349283,0.08244868600803053,-1.3538202676685984,-1.3766078529174577,-3.271371581660568,-3.2941591669094272,-2.9139577559626604,-2.9342556827245807
ETHUSDT,240862,223259,0.9269166576711976,0.02556741204507145,-1.1555043245737016,-1.1404025369637953,-3.1299369125286303,-3.1148351249187236,-2.9011906616827456,-2.8871925631865105
BTCUSDT,240840,215899,0.8964416209931905,0.008035056469025081,-1.1819738396194515,-1.160165355096596,-3.1739387831504264,-3.152130298627571,-2.845250827700523,-2.8257007944834496
