rvol_20_bin,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,rvol_20_range
9,361100,320897,0.8886651896981446,1.4635504846302965,-5.11534052982733,-5.271313505579672,-5.651790045197034,-5.807763020949375,-5.022549072649107,-5.161156826733846,"(0.00101, 0.0332]"
8,361099,306266,0.8481496764045318,1.450043798238156,-4.790571953791801,-4.952045313550966,-5.3405281555536455,-5.502001515312809,-4.529567226962115,-4.666520804789802,"(0.000739, 0.00101]"
7,361100,294366,0.8151924674605372,1.4525807726391584,-4.537720456846239,-4.76063923822724,-5.085139684207081,-5.308058465588082,-4.145367566550267,-4.327089277987541,"(0.000593, 0.000739]"
6,361101,284765,0.788602080858264,1.433165300013016,-4.338832721717909,-4.513761452425684,-4.905667421704893,-5.080596152412668,-3.868619536755073,-4.00656869779312,"(0.000495, 0.000593]"
5,361099,279976,0.7753441576963658,1.3469421931381698,-3.993893405149014,-4.0664552318770175,-4.646951212010844,-4.719513038738848,-3.602986473332654,-3.6592468617579876,"(0.000419, 0.000495]"
4,361100,277392,0.7681860980337857,1.2253494405981729,-3.6722450539308995,-3.788963236142354,-4.446895613332726,-4.563613795544181,-3.416043389569625,-3.505704674532239,"(0.000355, 0.000419]"
3,361101,280493,0.7767715957585274,1.0323042445188464,-3.2131649987700244,-3.2344858873483475,-4.180860754251178,-4.202181642829501,-3.247573879723888,-3.264135340367862,"(0.000297, 0.000355]"
2,361100,281398,0.7792799778454722,0.8679695319855995,-2.7748748747325855,-2.813417650445277,-3.906905342746986,-3.9454481184596775,-3.044573108940228,-3.0746087223437173,"(0.00024, 0.000297]"
1,361099,285960,0.7919157904065091,0.6397823796244242,-2.3317941320464404,-2.2811728563435447,-3.692011752422016,-3.6413904767191205,-2.9237624051094016,-2.883674617549757,"(0.000178, 0.00024]"
0,361102,279782,0.7748004718888292,0.41171758810529985,-1.8688897427282671,-1.802695848910938,-3.4571721546229672,-3.390978260805638,-2.6786186168027952,-2.6273315566369697,"(-0.001, 0.000178]"
