n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,rvol_decile_in_sym,mean_rvol20
361132,244564,0.677214979564259,1.1607503489028945,-3.5692049933759673,-3.4879506386876247,-4.408454644473073,-4.32720028978473,-2.985471521966795,-2.9304448558170217,0,0.00017057558776762067
361086,263503,0.7297513611715769,1.1583398664030178,-3.54121824039954,-3.574828711627572,-4.3828783739965225,-4.4164888452245545,-3.19841145927343,-3.2229387464017045,1,0.00025017370384718715
361106,272912,0.7557670047022204,1.159480039102092,-3.5307951647417477,-3.546639356276017,-4.371315125639656,-4.387159317173925,-3.303695739114193,-3.3156702562919755,2,0.00030221668102621714
361092,278806,0.7721190167602716,1.1547325321524708,-3.5496459186674603,-3.5894026312202763,-4.39491338651499,-4.434670099067805,-3.3933962027425095,-3.42409311654841,3,0.00035042593270099805
361104,285173,0.7897253976693694,1.1513449989476714,-3.616355124783903,-3.708537799861839,-4.465010125836232,-4.557192800914168,-3.526131897223779,-3.5989308969579286,4,0.0004014763770997965
361090,291792,0.808086626602786,1.1439018056440224,-3.6729679017930588,-3.7644184898832043,-4.5290660961490365,-4.620516684239182,-3.659877743298124,-3.7337777405287307,5,0.0004608211227746207
361103,299038,0.8281238317045275,1.1320218954148815,-3.740351527230653,-3.927060273276306,-4.608329631815772,-4.795038377861425,-3.8162675924567915,-3.970885554644865,6,0.0005354040383500531
361097,308214,0.85354904637812,1.1120773850239685,-3.751054689274336,-3.920931722764053,-4.638977304250368,-4.808854337740085,-3.9595946542126432,-4.104593034149335,7,0.0006404273291989664
361100,318298,0.8814677374688452,1.0847993962891167,-3.824655951341197,-3.9024671848393644,-4.73985655505208,-4.8176677885502475,-4.178030633508632,-4.246618725449921,8,0.0008196420756021501
361091,328995,0.9111138189542248,1.0659507451030348,-4.055692578914573,-4.2415223027705595,-4.989741833811538,-5.175571557667524,-4.546222737799687,-4.715534767177324,9,0.0014193357072148109
