mom_20_bin,n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,mom_20_range
0,361085,304725,0.843914867690433,1.4278439993353367,-4.811025088194275,-4.923512675363033,-5.383181088858938,-5.495668676027696,-4.542946556358032,-4.637876503600371,"(-0.272, -0.00275]"
9,361069,305802,0.8469350733516309,1.3931811135821686,-4.599844441828372,-4.8505075179364425,-5.206663328246203,-5.457326404354274,-4.409705787825445,-4.622001138575579,"(0.00285, 0.133]"
8,361054,290392,0.8042896630420934,1.2357582203770074,-3.949818004628226,-4.038188965260752,-4.714059784251218,-4.802430744883745,-3.791469555435696,-3.862545405585537,"(0.00152, 0.00285]"
1,361057,287845,0.797228692422526,1.2677899043641312,-3.9825647136479696,-4.115582379405584,-4.714774809283838,-4.847792475041453,-3.7587537562720192,-3.864799256013059,"(-0.00275, -0.00153]"
7,361087,288045,0.7977163398294593,1.0544181429960096,-3.4530590706313253,-3.5221006787133953,-4.398640927635316,-4.467682535717386,-3.5088677410173017,-3.563943359912471,"(0.000827, 0.00152]"
2,361071,286129,0.7924452531496575,1.0915745739757554,-3.497539431515156,-3.6066288632050583,-4.4059648575394,-4.515054289229303,-3.491485936901305,-3.577933339212762,"(-0.00153, -0.000868]"
3,361125,277856,0.7694177916233991,1.1244866929733468,-3.433386898249453,-3.534811377116203,-4.308900205276107,-4.410324684142856,-3.315344480269153,-3.3933822788153614,"(-0.000868, -0.00043]"
6,361063,280461,0.7767647197303518,1.0617118231444373,-3.3292247050392043,-3.3232888351678125,-4.267512881894767,-4.261577012023375,-3.3148534476506546,-3.3102426733536467,"(0.000364, 0.000827]"
4,470661,360820,0.7666239607700659,1.017193339792335,-3.236623662768139,-3.2676131034865032,-4.2194303229758034,-4.250419763694168,-3.234716386393029,-3.258473634178591,"(-0.00043, 0.0]"
5,251429,208983,0.8311809695778928,0.48908066293068825,-2.2528353980945814,-2.1958271246943535,-3.763754735163893,-3.7067464617636654,-3.1283613100269094,-3.0809771180681467,"(0.0, 0.000364]"
