n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,utc_hour
153960,125647,0.8161015848272278,1.131106858924396,-3.822318161197641,-3.937682873447038,-4.691211302273246,-4.806576014522642,-3.8285049785445993,-3.9226543030444687,0
153870,124306,0.8078637811139273,1.130424533697277,-4.06923044744421,-4.08670860618152,-4.938805913746933,-4.956284072484243,-3.989882419667422,-4.004002391071855,1
153064,124140,0.8110332932629488,1.1318687673130194,-3.8923589495730626,-4.0063842435959405,-4.760490182260043,-4.874515476282921,-3.8609160300642986,-3.953394339790949,2
150600,120399,0.7994621513944223,1.1325937250996014,-3.7073652605088085,-3.8176538841684735,-4.574771535409207,-4.685060159068872,-3.6573566938362094,-3.745528274181495,3
150600,117858,0.7825896414342629,1.13272015936255,-3.636527770707122,-3.845049636002648,-4.503807611344572,-4.712329476640098,-3.524633183651053,-3.6878202354438816,4
150900,119199,0.789920477137177,1.1443423989396952,-3.8978260723663793,-4.226169514844923,-4.753483673426684,-5.081827115905227,-3.754874091376987,-4.014239300124501,5
150870,119030,0.788957380526281,1.1350504871743885,-3.4874219944551794,-3.9365895152482566,-4.352371507280791,-4.801539028073869,-3.433835623461474,-3.788209654083864,6
150840,119447,0.7918788119862106,1.132250649695041,-3.575096988622569,-3.557944778855894,-4.442846338927528,-4.425694129160853,-3.518195880707216,-3.504613409214243,7
151896,120426,0.7928187707378733,1.1319971493653553,-3.6047374321159875,-3.792749489312939,-4.472740282750632,-4.660752339947583,-3.5460724528001237,-3.6951319408709096,8
150082,117346,0.7818792393491558,1.1296897396090138,-3.560374789085269,-3.7335627119799564,-4.4306850494762555,-4.603872972370943,-3.4642606562801714,-3.59967269769753,9
146707,114459,0.7801877211039692,1.1290538147463993,-3.508069876549682,-3.6945234538131566,-4.3790160618032825,-4.565469639066757,-3.4164545619359807,-3.561923353472854,10
146614,114836,0.7832539866588457,1.1278059769189845,-3.4506620746107486,-3.3049241527047273,-4.322856097691764,-4.1771181757857425,-3.3858942722695744,-3.271744463929308,11
150780,120987,0.8024074810982889,1.1312634235309722,-3.6887981353368544,-3.7050927785629857,-4.557534711805882,-4.5738293550320135,-3.6569999481181736,-3.670074891744649,12
147980,122520,0.8279497229355318,1.1393135964319503,-3.563884508651648,-3.904037463271302,-4.424570912219698,-4.7647238668393515,-3.6633222608809124,-3.944951805413957,13
147603,124108,0.840823018502334,1.1418532075906318,-3.8722973539175554,-4.076430205949657,-4.730444146326923,-4.934576998359025,-3.9774663259713003,-4.149105926792422,14
149506,125022,0.8362339972977673,1.137880804114885,-3.9195078466189957,-3.866727695925517,-4.781627042504111,-4.7288468918106314,-3.9985590953403136,-3.954422538947927,15
147632,122803,0.8318183049745312,1.1345442045085077,-3.7538690422872403,-3.4419817919757665,-4.619324837778732,-4.307437587467259,-3.8424389566878565,-3.5830054327905994,16
149398,121268,0.8117110001472576,1.1298529197178007,-3.7460459478180557,-3.5146835933634586,-4.6161930281002554,-4.3848306736456575,-3.747014659712056,-3.55921529158129,17
148497,119719,0.8062048391549997,1.1279476319386925,-3.5694784453595503,-3.6080221184607284,-4.441530813420858,-4.480074486522036,-3.580783635035938,-3.611857730808916,18
147210,117347,0.7971401399361456,1.1277526934311526,-3.406946321593224,-3.3873552796407234,-4.279193628162071,-4.259602586209571,-3.411117007566976,-3.395500201643465,19
149222,116284,0.7792684724772486,1.124955254587125,-3.625944927935055,-3.8237204602524852,-4.50098967334793,-4.69876520566536,-3.5074793473857118,-3.66159958434809,20
154470,120307,0.7788373146889364,1.1405306726225155,-4.34487926720806,-4.401109744237659,-5.204348594585545,-5.260579071615144,-4.053340884112146,-4.097135277845556,21
154440,121667,0.7877946127946128,1.1275836959336956,-3.5470078986084967,-3.698018936934419,-4.419424202674801,-4.570435241000723,-3.4815985785213353,-3.6005642609870177,22
154560,122384,0.7918219461697723,1.1238808165113874,-3.402418289972545,-3.3875856321087725,-4.278537473461157,-4.263704815597385,-3.387839868996314,-3.3760950449797513,23
