n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,utc_hour
10264,9338,0.9097817614964926,0.008258281371784882,-1.189232169629471,-1.103737417005783,-3.180973888257686,-3.0954791356339983,-2.8939920273334248,-2.8162104606927394,0
10258,9263,0.9030025346071359,0.008510528368102947,-1.2794569793803303,-1.405416171866566,-3.2709464510122275,-3.3969056434984632,-2.953672935828257,-3.0674144059003963,1
10203,9301,0.9115946290306772,0.0078048123101048745,-1.192658853886679,-1.1150553703902808,-3.184854041576574,-3.107250558080176,-2.90329583854785,-2.832552919798463,2
10040,9046,0.900996015936255,0.0076994023904382505,-1.1107804554499225,-1.1679128896749944,-3.1030810530594843,-3.1602134872845564,-2.795863665933874,-2.847339761551404,3
10040,8802,0.8766932270916334,0.007760557768924306,-1.1000318109520564,-1.1195864576232675,-3.092271253183132,-3.111825899854343,-2.7109732639958093,-2.7281166902906304,4
10060,8953,0.8899602385685885,0.00812326043737575,-1.1891265497598573,-1.1836010275885178,-3.1810032893224816,-3.175477767151142,-2.8309664462529005,-2.826048951223079,5
10058,8971,0.8919268244183735,0.007832571087691392,-1.095027310221826,-1.0973392041021068,-3.0871947391341346,-3.089506633014415,-2.7535518000370174,-2.7556138402040484,6
10056,8812,0.8762927605409706,0.008021081941129677,-1.142620290512937,-1.2591727190195188,-3.1345992085718075,-3.2511516370783893,-2.746826593668931,-2.8489606429927177,7
10129,8927,0.881330832263797,0.00860119458979169,-1.2208961577237594,-1.2332149658339866,-3.2122949631339677,-3.224613771244195,-2.831094593335663,-2.8419515387399477,8
10010,8720,0.8711288711288712,0.007853746253746257,-1.134137614678899,-1.138526376146789,-3.126283868425153,-3.1306726298930427,-2.723396137129604,-2.7272193139527805,9
9792,8570,0.8752042483660131,0.007821078431372551,-1.1743757292882147,-1.1776371061843638,-3.166554650856842,-3.169816027752991,-2.7713820831130653,-2.7742364540280975,10
9788,8650,0.8837351859419698,0.00780271761340417,-1.2152867052023122,-1.1652335260115607,-3.2074839875889083,-3.1574308083981566,-2.8345664581777745,-2.790332702558649,11
10063,8931,0.8875086952201133,0.008230050680711521,-1.246475198745941,-1.188318217444855,-3.2382451480652295,-3.1800881667641434,-2.8739707261622347,-2.822355899569767,12
9883,9009,0.9115653141758575,0.008171658403318833,-1.3137296037296036,-1.4431435231435232,-3.3055579453262847,-3.4349718647402043,-3.0132319669578567,-3.1312012070671353,13
9845,9096,0.9239207719654647,0.00860182833925851,-1.217339489885664,-1.1881552330694813,-3.2087376615464054,-3.179553404730223,-2.964619377290615,-2.9376554362037695,14
9980,9184,0.9202404809619239,0.008300551102204413,-1.2438577961672475,-1.1075489982578395,-3.235557245065043,-3.099248447155635,-2.9774907553784926,-2.8520538816309973,15
9842,9040,0.9185124974598659,0.007823003454582405,-1.1331769911504426,-1.0228949115044248,-3.1253539876958603,-3.0150719080498423,-2.8706766966846753,-2.769381228283944,16
9964,9079,0.9111802488960257,0.007999096748293862,-1.2454014759334728,-1.150863531225906,-3.2374023791851787,-3.142864434477612,-2.9498571056425367,-2.8637159976537774,17
9905,8873,0.8958101968702675,0.008161938414941951,-1.1569187422517753,-1.17825650850896,-3.148756803836833,-3.170094570094018,-2.8206884523416678,-2.839803040933288,18
9814,8832,0.8999388628489913,0.00769767678826167,-1.0352389039855074,-1.0160439311594203,-3.0275412271972457,-3.0083462543711583,-2.7246020092323286,-2.7073277072148025,19
9948,8824,0.8870124648170487,0.00771089666264576,-1.114333635539438,-1.0371362194016318,-3.1066227388767924,-3.029425322738986,-2.755613092867794,-2.687138022501891,20
10298,9211,0.8944455234026024,0.007838123907554867,-1.2591705569427856,-1.0775018999022907,-3.2513324330352305,-3.069663775994736,-2.9081397398220536,-2.7456470227896204,21
10296,9199,0.8934537684537684,0.008152972027972029,-1.2146287639960864,-1.1558245461463204,-3.2064757919681144,-3.1476715741183483,-2.8648378797896936,-2.8122990297508434,22
10304,9268,0.8994565217391305,0.008039208074534163,-1.130222270176953,-1.110392749244713,-3.122183062102419,-3.102353541170179,-2.8082679172714693,-2.7904321253460034,23
