n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,symbol,spread_decile,rvol_decile
7392,5249,0.7100919913419913,0.007500000000000002,-1.0082034673271099,-1.1774299866641265,-3.00070346732711,-3.169929986664126,-2.1307755005411253,-2.2509418966450214,BTCUSDT,1,0
16168,11854,0.733176645225136,0.008000000000000004,-1.0617934874304031,-1.1368044541926774,-3.0537934874304034,-3.1288044541926774,-2.2389700643245916,-2.29396635329045,BTCUSDT,2,0
6926,5648,0.815477909327173,0.026000000000000006,-1.0055240793201132,-1.2054886685552408,-2.979524079320113,-3.1794886685552406,-2.429736066993936,-2.5928027721628646,ETHUSDT,2,0
12106,9981,0.8244672063439616,0.026500000000000013,-1.089734495541529,-0.9663620879671376,-3.063234495541529,-2.9398620879671378,-2.5255363869155794,-2.423819882702792,ETHUSDT,3,0
5710,4826,0.8451838879159369,0.0075000000000000015,-1.174411520928305,-1.2302797347699959,-3.1669115209283047,-3.222779734769996,-2.6766225919439575,-2.723841506129597,BTCUSDT,1,1
446,438,0.9820627802690582,0.020999999999999998,-0.7608219178082192,-0.4445890410958903,-2.7398219178082193,-2.4235890410958905,-2.690677130044843,-2.380116591928251,ETHUSDT,1,7
3338,3060,0.9167165967645297,0.006486219292989815,-0.9588398692810458,-1.0996928104575163,-2.952353649988056,-3.0932065911645266,-2.706471590462388,-2.8355938193419568,BTCUSDT,0,3
6448,5694,0.8830645161290323,0.007499844913151367,-1.112218124341412,-1.1268686336494556,-3.1047182794282606,-3.1193687887363044,-2.7416665451402786,-2.75460389005343,BTCUSDT,1,2
16432,14077,0.8566820837390458,0.008000000000000004,-1.2106542587198976,-1.1327129359948853,-3.202654258719898,-3.1247129359948853,-2.743656523855891,-2.67688558909445,BTCUSDT,2,1
3352,2934,0.8752983293556086,0.027000000000000007,-1.163309475119291,-0.7713735514655761,-3.1363094751192913,-2.744373551465576,-2.745206443914081,-2.402145584725537,ETHUSDT,4,0
1662,1455,0.8754512635379061,0.020490974729241877,-1.1601580756013747,-1.2282474226804123,-3.139667100872133,-3.20775644795117,-2.7486255305469034,-2.808234435480718,ETHUSDT,0,0
3252,3020,0.9286592865928659,0.020329335793357932,-0.9955364238410596,-1.2036523178807945,-2.9752070880477017,-3.1833229820874367,-2.7629536918524167,-2.9562224495399936,ETHUSDT,0,3
4763,4249,0.892084820491287,0.025993701448666806,-1.1291127324076253,-1.1230618969169215,-3.1031190309589585,-3.0970681954682546,-2.768245383696119,-2.762847525203572,ETHUSDT,2,1
14875,13178,0.8859159663865547,0.008000000000000004,-1.1435172256791624,-0.9847404765518288,-3.1355172256791626,-2.9767404765518286,-2.7778047731092443,-2.6371419159663865,BTCUSDT,2,2
516,444,0.8604651162790697,0.006500000000000002,-1.2442567567567568,-1.1608108108108108,-3.237756756756757,-3.154310810810811,-2.7859767441860463,-2.7141744186046513,BTCUSDT,0,0
6770,6142,0.9072378138847859,0.007495716395864108,-1.0803435363073917,-1.0302230543796806,-3.0728478199115274,-3.0227273379838167,-2.787803738537164,-2.742332542082216,BTCUSDT,1,3
13924,12455,0.8944987072680264,0.008000000000000002,-1.1326575672420716,-1.0686399036531513,-3.1246575672420716,-3.0606399036531515,-2.795002154553289,-2.7377384372306808,BTCUSDT,2,3
10807,9692,0.896826131211252,0.02650000000000001,-1.1435947172926124,-1.0442498968221212,-3.1170947172926127,-3.0177498968221212,-2.795491995928565,-2.706396964930138,ETHUSDT,3,1
1399,1324,0.9463902787705504,0.030078270192995003,-0.9956117824773414,-1.1779531722054382,-2.9655335122843463,-3.1478749020124432,-2.806552087394192,-2.979118206050375,ETHUSDT,5,4
2715,2441,0.8990791896869245,0.006490791896869246,-1.129360917656698,-1.120761982793937,-3.122870125759829,-3.1142711908970675,-2.8077075421656508,-2.7999764187770686,BTCUSDT,0,2
5968,5431,0.9100201072386059,0.025976876675603222,-1.1205284477996686,-1.1672343951390167,-3.0945515711240654,-3.1412575184634135,-2.8161041526097184,-2.858607503816153,ETHUSDT,2,2
6064,5507,0.9081464379947229,0.027,-1.128013437443254,-1.0865879789358999,-3.101013437443254,-3.0595879789359,-2.816174307387863,-2.778553924802111,ETHUSDT,4,1
262,240,0.916030534351145,0.03056106870229008,-1.1069166666666668,-1.2920416666666663,-3.0763555979643766,-3.2614805979643764,-2.818035662257444,-2.9876158149291996,ETHUSDT,5,1
4840,4516,0.9330578512396694,0.006467768595041322,-1.0277524357838794,-1.050719663418955,-3.021284667188838,-3.0442518948239137,-2.819033379550577,-2.8404631316166933,BTCUSDT,0,5
3832,3532,0.9217118997912317,0.006466597077244261,-1.0708069082672707,-1.070855039637599,-3.0643403111900263,-3.0643884425603547,-2.8244389298338133,-2.8244832930905983,BTCUSDT,0,4
1634,1539,0.9418604651162791,0.032796205630354965,-1.0364522417153996,-0.9046068875893437,-3.0036560360850446,-2.871810681958989,-2.8290248711963795,-2.704844944635792,ETHUSDT,5,5
8947,8329,0.9309265675645467,0.02650000000000001,-1.0897862888702126,-1.0487177332212752,-3.063286288870213,-3.022217733221275,-2.8516945903654856,-2.8134627808203865,ETHUSDT,3,3
5990,5602,0.9352253756260434,0.025823873121869782,-1.0759175294537664,-1.0465280257051053,-3.0500936563318968,-3.020704152583235,-2.85252498543761,-2.8250391757548052,ETHUSDT,2,4
4129,3889,0.9418745458948898,0.020306490675708406,-1.0581820519413732,-1.1592954487014657,-3.0378755612656647,-3.1389889580257573,-2.8612976647522816,-2.9565337994095837,ETHUSDT,0,4
8373,7743,0.9247581512002866,0.02650000000000001,-1.1208652976882345,-1.0849231563993287,-3.0943652976882348,-3.0584231563993285,-2.8615395318284964,-2.828301743699988,ETHUSDT,3,4
5188,4720,0.9097918272937549,0.027000000000000003,-1.1734004237288138,-1.2333813559322033,-3.1464004237288137,-3.206381355932203,-2.862569390902082,-2.9171395528141866,ETHUSDT,4,2
4462,4097,0.9181981174361273,0.027,-1.1456748840615083,-1.1173029045643155,-3.1186748840615084,-3.0903029045643153,-2.8635614074406095,-2.8375103092783505,ETHUSDT,4,3
4110,3835,0.9330900243309003,0.02700000000000001,-1.0977705345501956,-0.9517262059973924,-3.0707705345501957,-2.924726205997392,-2.8653053527980537,-2.729032846715328,ETHUSDT,4,4
9742,8862,0.9096694723876001,0.026500000000000006,-1.1824949221394718,-1.1766260437824418,-3.155994922139472,-3.150126043782442,-2.8709122356805588,-2.865573496202012,ETHUSDT,3,2
13337,12099,0.9071755267301492,0.008000000000000004,-1.1837887428713116,-1.0815836019505747,-3.175788742871312,-3.073583601950575,-2.880997825597961,-2.7882798230486623,BTCUSDT,2,4
3340,3139,0.9398203592814371,0.027000000000000007,-1.09459063395986,-1.0715036635871298,-3.0675906339598598,-3.04450366358713,-2.882984131736527,-2.861286526946108,ETHUSDT,4,5
376,357,0.949468085106383,0.020999999999999994,-1.0627731092436974,-1.7702240896358543,-3.0417731092436977,-3.749224089635854,-2.8880664893617025,-3.559768617021277,ETHUSDT,1,6
7265,6800,0.9359944941500344,0.026500000000000006,-1.1122735294117647,-1.246525,-3.0857735294117647,-3.220025,-2.888267033723331,-3.013925671025465,ETHUSDT,3,6
2188,1982,0.9058500914076782,0.0204117915904936,-1.208965691220989,-1.2002875882946518,-3.188553899630495,-3.179875796704158,-2.888351841438593,-2.8804907811095255,ETHUSDT,0,1
638,605,0.9482758620689655,0.029489028213166145,-1.0787603305785123,-0.8939338842975207,-3.049271302365346,-2.8644448560843547,-2.891550372932656,-2.716283915252405,ETHUSDT,5,2
6252,5772,0.9232245681381958,0.02590978886756238,-1.158042273042273,-1.0483679833679833,-3.1321324841747105,-3.022458194500421,-2.891661660053811,-2.790407661333402,ETHUSDT,2,3
1900,1608,0.8463157894736842,0.006499473684210528,-1.424123134328358,-1.6435385572139305,-3.4176236606441472,-3.6370390835297197,-2.892388866481994,-3.0780836033241,BTCUSDT,0,1
4725,4525,0.9576719576719577,0.026500000000000003,-1.0473988950276245,-1.0997127071823205,-3.0208988950276243,-3.0732127071823205,-2.893030158730159,-2.9431296296296297,ETHUSDT,3,8
6848,6236,0.9106308411214953,0.007487733644859815,-1.1941212315586915,-1.1584204618345093,-3.1866334979138315,-3.1509327281896495,-2.901846742551205,-2.8693365205885883,BTCUSDT,1,4
6589,6240,0.947032933677341,0.026500000000000006,-1.1102596153846154,-1.1962467948717947,-3.0837596153846154,-3.169746794871795,-2.9204219153134012,-3.001854606161785,ETHUSDT,3,7
6102,5744,0.9413307112422157,0.025676335627663065,-1.132884749303621,-1.212924791086351,-3.107208413675958,-3.187248455458688,-2.924910706023386,-3.0002548554825803,ETHUSDT,2,5
12113,11039,0.9113349294146784,0.008000000000000004,-1.222435003170577,-1.2034966935410818,-3.214435003170577,-3.195496693541082,-2.9294268967225294,-2.9121677536531,BTCUSDT,2,5
5462,5216,0.9549615525448554,0.020280117173196627,-1.094930981595092,-1.024754601226994,-3.0746508644218955,-3.004474484053797,-2.936173363021715,-2.8691576178734173,ETHUSDT,0,6
4782,4547,0.9508573818485989,0.02028377248013383,-1.112599516164504,-1.1187970090169344,-3.0923157436843702,-3.0985132365368004,-2.940351251888923,-2.9462441837166105,ETHUSDT,0,5
6560,6276,0.9567073170731707,0.02028368902439024,-1.0937221159974506,-1.0778059273422562,-3.0734384269730604,-3.057522238317866,-2.9403810316589825,-2.925153897512641,ETHUSDT,0,7
2536,2332,0.919558359621451,0.020337933753943216,-1.2212821612349913,-1.2708018867924529,-3.200944227481048,-3.2504639530385098,-2.943455023062225,-2.9889913006647495,ETHUSDT,0,2
1847,1754,0.9496480779642664,0.03554547915538712,-1.1436374002280503,-1.0066533637400228,-3.1080919210726634,-2.9711078845846357,-2.951593518982919,-2.8215068920202766,ETHUSDT,5,6
7016,6409,0.9134834663625998,0.007477337514253137,-1.24184272117335,-1.1508191605554687,-3.234365383659097,-3.1433418230412156,-2.954539302148112,-2.8713907844742232,BTCUSDT,1,5
1402,1337,0.9536376604850214,0.0379864479315264,-1.1367539267015707,-1.5021615557217651,-3.0987674787700445,-3.464175107790239,-2.9551013688413335,-3.3035678453035304,ETHUSDT,5,8
10924,10057,0.9206334675942878,0.008000000000000004,-1.2185552351595903,-1.2412807000099435,-3.2105552351595903,-3.2332807000099435,-2.955744599047968,-2.9766664225558404,BTCUSDT,2,6
5940,5619,0.945959595959596,0.025404545454545457,-1.1556700480512547,-1.10883075280299,-3.130265502596709,-3.0834262073484444,-2.9611046900826445,-2.916796609274564,ETHUSDT,2,6
5878,5539,0.9423273222184416,0.006450153113303845,-1.1510218450983933,-1.1004369019678641,-3.1445716919850897,-3.0939867488545603,-2.9632158220322236,-2.9155482480274597,BTCUSDT,0,6
2650,2509,0.9467924528301886,0.027000000000000003,-1.1612594659226785,-1.1695854922279791,-3.1342594659226783,-3.1425854922279792,-2.96749320754717,-2.975376226415094,ETHUSDT,4,7
8006,7514,0.9385460904321759,0.026500000000000013,-1.1935254192174607,-1.1536465264838967,-3.1670254192174605,-3.1271465264838967,-2.9723993255058705,-2.9349711466400197,ETHUSDT,3,5
2884,2774,0.9618585298196949,0.027000000000000007,-1.118381398702235,-0.9208363374188897,-3.091381398702235,-2.8938363374188896,-2.973471567267684,-2.7834611650485437,ETHUSDT,4,8
7426,7017,0.9449232426609211,0.006462698626447619,-1.1534929457032919,-1.1143822146216333,-3.1470302470768443,-3.107919515995186,-2.9737020258198514,-2.9367453869833318,BTCUSDT,0,7
9783,9079,0.9280384340181949,0.008000000000000004,-1.2159676175790284,-1.2038682674303336,-3.2079676175790284,-3.195868267430334,-2.9771172441991207,-2.9658885822344887,BTCUSDT,2,7
6334,6036,0.9529523208083359,0.02517540258920114,-1.1575,-1.2039165009940358,-3.1323245974107987,-3.178741098404835,-2.984955994627657,-3.029188706973726,ETHUSDT,2,7
6448,6116,0.9485111662531017,0.007359491315136479,-1.1654218443427076,-1.2348708306082408,-3.158062353027571,-3.2275113392931045,-2.9954574055701957,-3.061330544528013,BTCUSDT,1,8
220,214,0.9727272727272728,0.020999999999999998,-1.106915887850467,-0.7780373831775701,-3.085915887850467,-2.75703738317757,-3.001754545454545,-2.6818454545454546,ETHUSDT,1,5
6690,6204,0.9273542600896861,0.007423766816143501,-1.2468343004513218,-1.2822856221792394,-3.239410533635178,-3.274861855363096,-3.004081158545986,-3.0369570927761806,BTCUSDT,1,7
7878,7579,0.9620462046204621,0.02027227722772277,-1.1434252539912917,-1.1977200158332235,-3.123152976763569,-3.1774477386055007,-3.0046174677444895,-3.0568515373052922,ETHUSDT,0,8
9108,8666,0.9514712340799297,0.0064515810276679865,-1.1650357719824602,-1.0943111008539117,-3.1585841909547923,-3.0878595198262437,-3.005301998113113,-2.9380095079945354,BTCUSDT,0,8
3193,3006,0.9414343877231444,0.027000000000000003,-1.2317498336660013,-1.1538855622089155,-3.2047498336660016,-3.1268855622089156,-3.017061697463201,-2.9437575947384906,ETHUSDT,4,6
8264,7794,0.9431268151016456,0.008000000000000004,-1.2088760585065434,-1.1754644598409034,-3.2008760585065437,-3.1674644598409034,-3.018832042594385,-2.987320667957406,BTCUSDT,2,8
7160,6629,0.9258379888268157,0.007447206703910617,-1.2902911449690753,-1.2555996379544427,-3.282843938265165,-3.2481524312505323,-3.039381629435723,-3.0072629143519247,BTCUSDT,1,6
6140,5860,0.9543973941368078,0.024585342019543974,-1.2363941979522186,-1.1895273037542662,-3.2118088559326745,-3.1649419617347223,-3.0653420025676663,-3.0206123608738555,ETHUSDT,2,8
4023,3867,0.9612229679343773,0.02650000000000001,-1.2272924747866565,-1.3582337729506078,-3.2007924747866565,-3.331733772950608,-3.0766752423564507,-3.202539025602784,ETHUSDT,3,9
1505,1430,0.9501661129568106,0.03601627906976745,-1.2843916083916083,-1.0743006993006994,-3.248375329321841,-3.038284420230932,-3.0864961600865333,-2.8868748976280614,ETHUSDT,5,7
1146,1071,0.9345549738219895,0.029709424083769632,-1.3878804855275444,-1.3849393090569564,-3.358171061443775,-3.3552298849731867,-3.13839546841735,-3.1356467773178736,ETHUSDT,5,3
5954,5683,0.9544843802485724,0.008000000000000002,-1.3032324476508887,-1.2683248284356852,-3.2952324476508887,-3.260324828435685,-3.1452479005710448,-3.1119291232784683,BTCUSDT,2,9
5997,5750,0.9588127397031849,0.007284058696014676,-1.3025878260869566,-1.1952782608695653,-3.2953037673909416,-3.1879942021735506,-3.1595792333663355,-3.056689455143891,BTCUSDT,1,9
6375,6172,0.968156862745098,0.02386313725490196,-1.3166688269604665,-1.288049254698639,-3.2928056897055646,-3.264186117443737,-3.187952426174548,-3.1602441908804306,ETHUSDT,2,9
11552,11112,0.9619113573407202,0.006454380193905819,-1.322769078473722,-1.3653455723542118,-3.3163146982798164,-3.358891192160306,-3.1900007727913193,-3.23095558581071,BTCUSDT,0,9
1056,1025,0.9706439393939394,0.021,-1.3710146341463414,-1.1160780487804878,-3.3500146341463415,-3.095078048780488,-3.2516714015151518,-3.0042187500000006,ETHUSDT,1,8
2280,2220,0.9736842105263158,0.020999999999999994,-1.3710495495495494,-1.2171441441441444,-3.3500495495495493,-3.1961441441441445,-3.261890350877193,-3.1120350877192986,ETHUSDT,1,9
7940,7691,0.968639798488665,0.020211460957178844,-1.390478481341828,-1.3356091535561045,-3.370267020384649,-3.3153976925989257,-3.26457476747838,-3.211426152868808,ETHUSDT,0,9
578,556,0.9619377162629758,0.12010034602076125,-1.5574460431654678,-1.4428057553956835,-3.4373456971447065,-3.3227054093749224,-3.3065124699177453,-3.1962356533087486,BTCUSDT,3,9
1900,1834,0.9652631578947368,0.027000000000000007,-1.455534351145038,-1.5689258451472192,-3.4285343511450384,-3.5419258451472193,-3.3094378947368424,-3.4188905263157894,ETHUSDT,4,9
262,250,0.9541984732824428,0.08381297709923663,-1.83624,-1.80688,-3.7524270229007635,-3.7230670229007634,-3.5805601363556905,-3.552544869180118,BTCUSDT,3,8
1566,1507,0.9623243933588761,0.0673933588761175,-1.9997478433974785,-1.4785666887856668,-3.932354484521361,-3.4111733299095492,-3.7842006437890747,-3.282655305347184,ETHUSDT,5,9
