cancel_after_s,n_kept_fills,p_fill_effective,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300
5.0,496258,0.13741806623153263,-2.4775017228941403,-2.5798734730724746,-3.3451621697801786,-3.447533919958513,-0.45968571660206997,-0.47375344454831425
10.0,755483,0.20919967623856334,-2.6082064321765017,-2.6853423703776267,-3.47586687906254,-3.553002817263665,-0.727150225748229,-0.7432870390462621
15.0,943279,0.2612019878708532,-2.7158522770039406,-2.788873238988677,-3.583512723889979,-3.6565336858747157,-0.9360206470405583,-0.9550938674672136
30.0,1319238,0.36530823656072975,-2.9135327818028287,-2.983396058937054,-3.781193228688867,-3.8510565058230926,-1.381301030467702,-1.4068226610379597
60.0,1733415,0.47999737490727024,-3.125751588627076,-3.1935097077156924,-3.9934120355131144,-4.061170154601731,-1.9168272939693936,-1.9493510132605838
90.0,1974375,0.5467212508733003,-3.2481059373219354,-3.3171749085153532,-4.115766384207974,-4.1848353554013915,-2.2501769458764636,-2.2879384202038606
120.0,2140251,0.5926537278393577,-3.333463233985171,-3.4010506618148986,-4.201123680871209,-4.268711108700937,-2.489811610582526,-2.5298675516408875
180.0,2361679,0.6539690266748742,-3.4403993049013017,-3.5096590730577706,-4.30805975178734,-4.377319519943809,-2.817337642733567,-2.8626313859025805
300.0,2610997,0.7230073040159212,-3.5604379629697007,-3.6371751480373202,-4.428098409855739,-4.5048355949233585,-3.201547493226985,-3.257029038520496
600.0,2891482,0.8006759890687595,-3.6965792558971486,-3.783504223785587,-4.564239702783187,-4.651164670671625,-3.654477138372829,-3.7240758730116745
inf,2891509,0.8006834655986859,-3.6966696351282335,-3.783635565374345,-4.564330082014272,-4.651296012260383,-3.6545836282035213,-3.7242158106219914
