n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,spread_decile_in_sym,half
73618,59605,0.8096525306310957,1.396845499741911,-5.071569666974248,-4.821338981629058,-5.674724167232337,-5.424493481887147,-4.594554782633098,-4.3919548750018125,0,H1_first
447755,353953,0.7905059686658998,1.2010124833893534,-3.820451387613609,-3.779124940316935,-4.619438904224255,-4.578112456927581,-3.6516940256767376,-3.61902522242496,1,H1_first
481070,390977,0.8127237200407426,0.9644582981686655,-3.2876537238763412,-3.3530805392644583,-4.3231954257076755,-4.388622241095793,-3.513563468844264,-3.5667373936369136,2,H1_first
414191,329367,0.7952055935546644,1.0699051621112001,-3.526794153634092,-3.549974375089186,-4.4568889915228915,-4.480069212977986,-3.5441430559112104,-3.562576097672137,3,H1_first
296193,225475,0.7612435135199008,1.4144891945454487,-4.082076416454152,-4.260464619137376,-4.667587221908703,-4.845975424591927,-3.5531704964663744,-3.6889673586474516,4,H1_first
657431,587740,0.8939949591668175,0.9032480473235974,-3.4256184537380467,-3.697907135808352,-4.522370406414449,-4.794659088484755,-4.042976346819709,-4.286401056028739,0,H2_second
316544,270377,0.8541529771532551,0.7343501677491914,-2.8869836561541833,-3.0411211752478944,-4.152633488404992,-4.306771007498703,-3.546984257147431,-3.6786412779723414,1,H2_second
344610,266300,0.7727576100519428,1.0543517352949707,-3.5996669921141566,-3.6242714607585427,-4.545315256819186,-4.569919725463572,-3.5124269547922267,-3.5314402451784606,2,H2_second
267642,184149,0.6880422355235726,1.5335148519290693,-4.654564238741453,-4.566401012223797,-5.121049386812384,-5.032886160294728,-3.5234982683290132,-3.4628382448648343,3,H2_second
312247,223566,0.7159908662052797,1.6733459841087344,-4.7293325460937705,-4.798846425664009,-5.055986561985036,-5.125500441555275,-3.62004019803792,-3.669811500884705,4,H2_second
