n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,rvol_quintile_in_sym,half
310621,220219,0.7089636566748546,1.2794448540182408,-3.850118427565288,-3.865014962378359,-4.570673573547047,-4.585570108360118,-3.24044145016904,-3.2510025519618986,0,H1_first
399374,308014,0.7712419937201721,1.1454396280178478,-3.5320660424526165,-3.5147185192880834,-4.386626414434769,-4.369278891270236,-3.383150501574241,-3.36977136322272,1,H1_first
416664,333618,0.8006883244052762,1.11090875621604,-3.565439664526495,-3.6328234687576804,-4.454530908310455,-4.521914712541641,-3.5666908889866114,-3.620644314288532,2,H1_first
370001,308621,0.8341085564633609,1.109369220623728,-3.7223106982350527,-3.810712621629765,-4.612941477611325,-4.701343401006037,-3.847693956940345,-3.921430757651693,3,H1_first
215867,188691,0.8741076681475167,1.1030366197705068,-3.961843066176977,-3.9416662691914297,-4.85880644640647,-4.838629649420923,-4.247119972848482,-4.22948327988476,4,H1_first
411597,287848,0.6993442614985046,1.0690601826543926,-3.3286715558211277,-3.2790066979794887,-4.259611373166735,-4.209946515325096,-2.9789347700379216,-2.944201936708232,0,H2_second
322824,243704,0.754912893712983,1.1715395153396277,-3.550754850146079,-3.6359063454026184,-4.379215334806451,-4.464366830062991,-3.3059261205910078,-3.370208082279109,1,H2_second
305530,243347,0.7964749779072432,1.1976928664942883,-3.754041101801133,-3.879344105331071,-4.556348235306844,-4.681651238836783,-3.629017360053725,-3.7288180670219444,2,H2_second
352199,298631,0.8479041678142186,1.135371165165148,-3.770042493913893,-4.040974848558924,-4.634671328748745,-4.905603683393776,-3.929757136095123,-4.159481808794365,3,H2_second
506324,458602,0.9057480980557904,1.0635819682653793,-3.933953166362119,-4.129572439718972,-4.8703711980967395,-5.065990471453593,-4.411329449501823,-4.588511234287848,4,H2_second
