half,ttf_decile,n,mean_ttf,adv60,adv300
H1_first,0,107255,0.9778607057946016,-2.2260905319099344,-2.1464345718148343
H2_second,0,182027,0.945324539766079,-2.507684244645025,-2.8197574535645815
H1_first,1,123279,4.196241208965031,-2.4727615408950427,-2.5447716967204475
H2_second,1,165940,4.125786067253225,-2.7363199951789805,-2.7567353862841992
H1_first,2,132783,9.40198692603722,-2.85707530331443,-2.810591943245747
H2_second,2,156422,9.356056309214814,-3.093455076651622,-3.18280101264528
H1_first,3,138097,17.377596037567795,-3.1251456584864257,-3.1770101450429773
H2_second,3,150885,17.324637969314384,-3.4306223945388874,-3.4492573151738073
H1_first,4,142058,29.360005561108835,-3.456743865181827,-3.5158331808134706
H2_second,4,147144,29.316159340509977,-3.6901570570325664,-3.7889517071712064
H1_first,5,142751,47.796005772288815,-3.784588689396221,-3.7406381041113543
H2_second,5,146343,47.79837074544051,-3.991124481526277,-4.137195766111122
H1_first,6,143937,77.4909882101197,-4.148760985709025,-4.196858139324844
H2_second,6,145141,77.49068616035441,-4.161243549376124,-4.276261979730054
H1_first,7,143643,127.85658062000932,-4.462940971714597,-4.497225064917886
H2_second,7,145523,127.86726599918914,-4.398700617771762,-4.5029576080756994
H1_first,8,143717,221.47857358558835,-4.7273330921185375,-4.78362754580182
H2_second,8,145416,221.32369471034824,-4.594330885184576,-4.784387825273698
H1_first,9,141857,422.8012654292703,-5.064820417744631,-5.209419908781379
H2_second,9,147291,423.23558608468954,-4.8592144122858825,-5.09799818047267
