ttf_decile_in_sym,n,mean_ttf,adv60,adv300
0,289774,2.257001559836286,-3.722640022914409,-3.9360683843270965
1,288960,7.513261973975637,-3.4897443936877077,-3.592870604928018
2,288962,14.535894685114306,-3.641728012679868,-3.702078750839211
3,289094,23.999573668080277,-3.662103087577051,-3.723216842964572
4,289032,36.93786940546375,-3.710926437211105,-3.7443482382573556
5,289131,55.25644676634467,-3.7604409074087526,-3.79415320391103
6,289120,82.6420529192031,-3.810937119535141,-3.846226445766464
7,289159,126.86293575506902,-3.7856366912321593,-3.8206806981626023
8,289130,207.76581907792342,-3.7194646698716842,-3.877301490678933
9,289147,400.99733426250316,-3.662860897744054,-3.7988885929994085
