ttf_decile,n,mean_ttf,adv60,adv300
0,21772,0.24165395921366892,-1.1697230387653867,-1.0989435972809114
1,21434,1.3404236260147429,-1.1200732481104787,-1.1391714099094896
2,21586,3.228723246548689,-1.1434749374594644,-1.0978458259983321
3,21602,6.2675599481529485,-1.1444042218313117,-1.0573997777983521
4,21573,11.21246975385899,-1.1969832661196866,-1.1308584805080424
5,21575,19.411950869061414,-1.2332699884125145,-1.2273682502896872
6,21587,33.748684393384906,-1.2719025339324594,-1.2715069254643998
7,21594,61.67142030193572,-1.2841710660368622,-1.3596123923312031
8,21586,125.92594598350784,-1.1911048827944037,-1.124795237654035
9,21590,338.39558267716535,-1.0643436776285318,-1.0945572024085226
