ttf_decile,n,mean_ttf,adv60,adv300
0,22468,0.1599265622218266,-1.1802924158803632,-1.292975787787075
1,22327,0.8456881802302145,-1.0640923545483048,-1.1282165091593137
2,22292,2.0313556432801008,-1.0840974340570608,-0.9760227884442849
3,22254,3.894256313471735,-1.1411094634672418,-1.1077046823043049
4,22305,6.894786370768886,-1.1698713292983636,-0.977569154898005
5,22328,12.0112970261555,-1.1730750627015405,-1.1436156395557149
6,22315,21.2220241989693,-1.2369110463813577,-1.3273582791844052
7,22324,40.01108358717076,-1.236917667084752,-1.1771102848951802
8,22322,87.72255532658363,-1.1977425857898036,-1.1963430696174178
9,22324,284.0600524099624,-1.0706844651496148,-1.0757297079376456
