n,n_fill,p_fill,half_spread_bps,adv60,adv300,pnl_fill_60,pnl_fill_300,e_pnl_60,e_pnl_300,mom_dir,side,half
417238,333004,0.7981152244042968,1.1082999750741782,-3.650989717841228,-3.5804520366121717,-4.54268974276705,-4.472152061537994,-3.6255898434476213,-3.5692926461645347,DOWNTREND,BUY,H1_first
417346,333856,0.7999501612570864,1.1083199132134969,-3.552227756877217,-3.777978469759418,-4.4439078436637205,-4.669658556545921,-3.5549047961504243,-3.735494115324443,DOWNTREND,SELL,H1_first
41134,27297,0.6636116108328877,1.9965955778674578,-5.6532161043338105,-5.890400776642123,-5.6566205264663525,-5.893805198774665,-3.7537990594387134,-3.911197561894103,FLAT,BUY,H1_first
41134,26783,0.6511158652209851,1.9964914304468322,-5.554101482283538,-5.583302841354591,-5.557610051836706,-5.5868114109077585,-3.6186480774625007,-3.6376615456396775,FLAT,SELL,H1_first
397688,322405,0.8106983363843012,1.1022746713504055,-3.7054304678897663,-3.7934196740124997,-4.603155796539361,-4.691145002662094,-3.731770746372213,-3.803103449395688,UPTREND,BUY,H1_first
397687,315581,0.7935411517097617,1.1023967215423185,-3.553232640748335,-3.4160102794528187,-4.450835919206016,-4.3136135579105,-3.5319214613979177,-3.423029870775141,UPTREND,SELL,H1_first
456100,370031,0.8112935759701819,1.0915293948695464,-3.5345217022357596,-3.3462487467266255,-4.442992307366213,-4.254719351857079,-3.6045711170511443,-3.4518264777176646,DOWNTREND,BUY,H2_second
456104,370480,0.8122708855874976,1.0915183423078947,-3.829807816886202,-4.227512632260851,-4.738289474578307,-5.135994289952956,-3.8487745876856403,-4.171818630272418,DOWNTREND,SELL,H2_second
42968,28374,0.6603518897784397,1.9473602215602308,-5.250163882427575,-5.342172411362514,-5.302803660867344,-5.394812189802284,-3.501716418577779,-3.5624744245357007,FLAT,BUY,H2_second
42975,27550,0.6410703897614892,1.947431832460733,-5.606464609800363,-5.741563702359346,-5.65903277733963,-5.794131869898613,-3.6278383482421592,-3.71444637616537,FLAT,SELL,H2_second
450142,370160,0.822318290672721,1.0656764354359292,-3.5566444240328488,-3.4381579046898634,-4.490967988596919,-4.372481469253934,-3.6930051198489267,-3.5955714877950427,UPTREND,BUY,H2_second
450185,365537,0.8119706342947899,1.0657498261825695,-3.6119080968547643,-4.069918147820879,-4.546158270672195,-5.004168321638309,-3.6913470146422074,-4.063237726238552,UPTREND,SELL,H2_second
