sym,date,event_start,total_usd,signed_usd,n_liqs,pre_spread_bps,pre_depth,p0,net_sign,contret_30s_bps,contret_120s_bps,contret_300s_bps
BTCUSDT,2026-08-16,1786897020000000000,626528.9209799999,626528.9209799999,42,0.018128140721990968,21.530704441624366,63261.649999999994,1.0,2.513055256187926,6.068186691288735,1.8334862607084297
BTCUSDT,2026-08-16,1786912860000000000,189176.09999999998,-189176.09999999998,1,0.01585601470146609,39.759557397959185,63067.55,-1.0,3.108261896088598,4.694482087397609,5.106940554077008
BTCUSDT,2026-08-16,1786916400000000000,2773316.31603,-2773190.32743,187,0.01668437481716537,36.9066698942453,62965.05,-1.0,15.814916361905034,16.483031141091274,15.099128629247517
BTCUSDT,2026-08-16,1786919820000000000,214835.62687,-214835.62687,37,0.016912670278306664,30.895283313609468,62739.95,-1.0,2.7896804323041136,4.766839468500497,-1.227212889505957
BTCUSDT,2026-08-17,1786928760000000000,234473.5035,234473.5035,14,0.016279387580299585,22.5659704218107,63076.05,1.0,3.5981828772314,-0.04756174703819008,-7.644490352362719
BTCUSDT,2026-08-17,1786930200000000000,771333.67091,771333.67091,21,0.01622942167442777,24.896933026522948,63099.25,1.0,15.946264321328018,11.815661242036368,16.057023289243826
BTCUSDT,2026-08-17,1786933260000000000,240751.77572,-116326.27788000001,31,0.01624860429974461,24.749153412006155,63072.95,-1.0,-2.3145120802763794,-4.470014126442074,-15.55716580905446
BTCUSDT,2026-08-17,1786935120000000000,1021802.30313,1021802.30313,95,0.01636889728814672,28.710136356195775,63309.95,1.0,19.567022880480465,16.303253529047826,15.98785705594313
BTCUSDT,2026-08-17,1786935180000000000,252862.08668999997,252735.14688999997,59,0.019284850773964295,8.622713878080415,63413.649999999994,1.0,6.163964806756525,-3.8958192201732214,-6.1835458136920005
ETHUSDT,2026-08-16,1786897800000000000,617371.30139,617371.30139,26,0.04981287573229292,569.047912075364,1887.2649999999999,1.0,9.268381186115125,7.838962692299753,18.475291251609296
ETHUSDT,2026-08-16,1786898040000000000,228308.89239000002,228308.89239000002,24,0.05248388426887173,592.8754225084459,1889.495,1.0,6.719114811044388,3.3336684949003987,-1.5349194197434421
ETHUSDT,2026-08-16,1786904460000000000,377112.0,377112.0,1,0.050534311144965774,471.7750052018826,1885.375,1.0,-1.16694470140502,-1.7504681220793108,-3.607360114660195
ETHUSDT,2026-08-16,1786916400000000000,1702028.4782,-1702028.4782,159,0.07449532396447023,429.4507560589051,1876.4650000000001,-1.0,17.014517110898762,25.292221188365417,28.12423471546173
ETHUSDT,2026-08-17,1786928460000000000,406839.63611,406839.63611,69,0.09933313104566942,467.9350214072749,1882.3449999999998,1.0,37.515636832781595,32.30103742480972,69.6695381259299
ETHUSDT,2026-08-17,1786928760000000000,560091.52526,560091.52526,70,0.054373511975782045,361.58713792036315,1889.505,1.0,16.392969502301437,5.661255997637814,-10.166557669393082
ETHUSDT,2026-08-17,1786933260000000000,251552.91883,30128.372750000006,47,0.05359574379368036,333.1778273993808,1889.225,1.0,3.9690940402519814,6.243997631185916,25.216627780652413
ETHUSDT,2026-08-17,1786935060000000000,432674.32633,432674.32633,30,0.05382901817450439,488.65514178856387,1896.995,1.0,30.475472165436475,44.49769995300402,27.794831108246534
ETHUSDT,2026-08-17,1786935120000000000,798865.56114,798865.56114,126,0.059659114195373536,412.22595872269676,1898.875,1.0,34.749638054846685,22.199026993910497,22.041387798499176
ETHUSDT,2026-08-17,1786935180000000000,627814.39197,627814.39197,68,0.05550419760987507,223.77732078699745,1903.665,1.0,9.398496932422786,-5.25440528281789,-14.24584036416379
SOLUSDT,2026-08-16,1786914300000000000,354051.0867,-354051.0867,17,1.342155088023553,8722.741901763224,74.985,-1.0,2.6675558677683457,-1.333511136793781,-2.6668444721021296
SOLUSDT,2026-08-16,1786916400000000000,1502965.9343,-1502965.9343,187,1.3656509029868262,5569.945534412236,74.785,-1.0,46.910687822692516,46.910687822692516,75.16309461466386
SOLUSDT,2026-08-17,1786935120000000000,272240.4892,271940.32920000004,9,1.3280531121852799,4791.151598890942,75.41499999999999,1.0,11.926850075370023,-1.326084075672097,10.602346762175753
