net_put_flow_btc_z,net_call_flow_btc_z,block_share_z,pc_volume_ratio_z,top_strike_share_z,lag,event_day
,,,,,-2,2023-01-03
,,,,,-1,2023-01-03
,,,,,0,2023-01-03
,,,,,1,2023-01-03
,,,,,2,2023-01-03
,,,,,-2,2023-01-04
,,,,,-1,2023-01-04
,,,,,0,2023-01-04
,,,,,1,2023-01-04
,,,,,2,2023-01-04
,,,,,-2,2023-01-08
,,,,,-1,2023-01-08
,,,,,0,2023-01-08
,,,,,1,2023-01-08
,,,,,2,2023-01-08
,,,,,-2,2023-01-12
,,,,,-1,2023-01-12
,,,,,0,2023-01-12
,,,,,1,2023-01-12
,,,,,2,2023-01-12
,,,,,-2,2023-01-13
,,,,,-1,2023-01-13
,,,,,0,2023-01-13
,,,,,1,2023-01-13
,,,,,2,2023-01-13
,,,,,-2,2023-01-14
,,,,,-1,2023-01-14
,,,,,0,2023-01-14
,,,,,1,2023-01-14
,,,,,2,2023-01-14
,,,,,-2,2023-01-20
,,,,,-1,2023-01-20
-2.7230740070516464,0.8600117291621813,0.0963536590194578,-0.3063180485536578,-0.7513969140095871,0,2023-01-20
0.09441022195271791,0.19876686113375688,-0.27137908714429837,-0.6278775334812173,-0.9739574124064588,1,2023-01-20
0.5760920306446757,-0.283400598582319,-0.9676680052862552,-0.6739711021186351,-0.7886007654064053,2,2023-01-20
-0.3245066465092549,-0.5724809437381976,0.3687784923496789,-0.22294670380868886,-0.5436276865205231,-2,2023-01-30
-0.14333447526819668,-0.13853189863059462,0.96385410970609,-0.5408981970351745,-0.7499859781682328,-1,2023-01-30
3.0956426064211375,-1.9939306829067212,0.49627454562608436,0.6558129777429614,-0.21344630413785554,0,2023-01-30
0.8563127790744939,0.5764671800090716,1.2562372636522983,-0.38062950185293654,-0.24097460210754482,1,2023-01-30
-1.7702607481612809,0.33511039044075686,1.6143740345499298,-0.7224194608323257,-0.7848892008576803,2,2023-01-30
1.0760113355416654,-1.7561139451136047,2.443931160509646,-0.6144345712940663,-0.3572910373974595,-2,2023-02-10
0.42282853640558116,-0.3120550132151268,0.5107289725850029,0.8344960957108369,-0.38785975393715205,-1,2023-02-10
0.7111668203974393,-1.069145550157091,0.17426053758581175,0.10705547996305939,-0.793051322825139,0,2023-02-10
0.4726272784758685,-0.7171952124762592,-1.6263826898804392,0.8207486918818989,1.562455680695504,1,2023-02-10
0.04448247186987026,-0.15635681384392205,-1.251978967558225,0.6685912337424593,0.6671600074551124,2,2023-02-10
2.374516077662409,-0.772927366541075,0.7488375948437589,1.982491296510816,-1.3026525995475355,-2,2023-02-15
-0.7525025380526733,0.2972741297513213,0.17463109652321512,-0.32404982886164113,-0.656762152542276,-1,2023-02-15
-0.649736518316243,1.8765255698345982,-0.5335454537530118,-0.38790579941903774,-0.9871688073808468,0,2023-02-15
0.5669497856961582,1.1330663596025372,0.6097797960007687,-0.7117259123810248,-0.9839477295085138,1,2023-02-15
-1.6513282521313069,1.3450716290321152,-0.36595268635639955,-0.32201925921623276,0.8938332382713767,2,2023-02-15
-1.6513282521313069,1.3450716290321152,-0.36595268635639955,-0.32201925921623276,0.8938332382713767,-2,2023-02-19
-0.38131951874644165,-0.8631099734435556,-1.8387687885553436,0.521357273513326,-0.4648630872681299,-1,2023-02-19
-0.44013702915653075,-1.2203433597896518,-1.2673629550792889,-0.2712176191624811,0.4778425613410663,0,2023-02-19
1.2089048005890117,0.4438128622152965,0.05504745684015416,0.7316494648486177,-0.03538267709494875,1,2023-02-19
1.6015247357687639,0.24124301438152412,0.5704443820674747,-0.22868353215560025,0.5937331718860738,2,2023-02-19
0.24311389906073116,-0.6655672591492198,-1.6682320649335587,1.3533703202970249,-0.28353537642810533,-2,2023-02-27
-0.4121578267892056,-0.2536356961557727,4.916977276790577,0.2683615404019429,-0.1466097572215005,-1,2023-02-27
-0.48741933510567087,-0.11791799352088198,0.1158812443131841,-0.32406926529735386,-0.989462254225443,0,2023-02-27
1.1867392698044674,-0.18136293826927596,0.8070601355602759,-0.2215738445079389,-1.2929571685080163,1,2023-02-27
-0.09757642053014819,-0.9261195908646744,-0.16416649037273687,0.3504634229130803,-0.8829286090489481,2,2023-02-27
-0.1225384658221555,-0.3590151867699857,0.04212714337186125,1.2559610701865942,0.15228316824171298,-2,2023-03-08
2.1652873340583962,-0.5967668421077571,-0.10253769696835706,0.9377953485532325,-0.28537744333608756,-1,2023-03-08
2.327207999477542,-1.3965346289185996,1.140381716697261,1.8595295405069785,-0.4462748936588686,0,2023-03-08
0.7600534980779747,-1.7267978813045999,0.29713308814252154,3.7773920015341007,0.21753991427776015,1,2023-03-08
1.0167221877034294,-1.6011724868624353,-0.008545089660132314,3.2460916158625417,-0.5747703088125613,2,2023-03-08
2.1652873340583962,-0.5967668421077571,-0.10253769696835706,0.9377953485532325,-0.28537744333608756,-2,2023-03-09
2.327207999477542,-1.3965346289185996,1.140381716697261,1.8595295405069785,-0.4462748936588686,-1,2023-03-09
0.7600534980779747,-1.7267978813045999,0.29713308814252154,3.7773920015341007,0.21753991427776015,0,2023-03-09
1.0167221877034294,-1.6011724868624353,-0.008545089660132314,3.2460916158625417,-0.5747703088125613,1,2023-03-09
1.978208270862889,1.1862514520212493,-0.8543966047827577,2.855793480954507,-1.453337438734801,2,2023-03-09
2.327207999477542,-1.3965346289185996,1.140381716697261,1.8595295405069785,-0.4462748936588686,-2,2023-03-10
0.7600534980779747,-1.7267978813045999,0.29713308814252154,3.7773920015341007,0.21753991427776015,-1,2023-03-10
1.0167221877034294,-1.6011724868624353,-0.008545089660132314,3.2460916158625417,-0.5747703088125613,0,2023-03-10
1.978208270862889,1.1862514520212493,-0.8543966047827577,2.855793480954507,-1.453337438734801,1,2023-03-10
-0.5911001000143029,1.168335986417594,-1.169923411582148,0.8697484038924458,-1.2401032093360305,2,2023-03-10
0.7600534980779747,-1.7267978813045999,0.29713308814252154,3.7773920015341007,0.21753991427776015,-2,2023-03-11
1.0167221877034294,-1.6011724868624353,-0.008545089660132314,3.2460916158625417,-0.5747703088125613,-1,2023-03-11
1.978208270862889,1.1862514520212493,-0.8543966047827577,2.855793480954507,-1.453337438734801,0,2023-03-11
-0.5911001000143029,1.168335986417594,-1.169923411582148,0.8697484038924458,-1.2401032093360305,1,2023-03-11
1.1950929033160453,0.6995199496660106,0.04852314804675485,-0.7291704362258521,-1.1352526466377204,2,2023-03-11
1.0167221877034294,-1.6011724868624353,-0.008545089660132314,3.2460916158625417,-0.5747703088125613,-2,2023-03-12
1.978208270862889,1.1862514520212493,-0.8543966047827577,2.855793480954507,-1.453337438734801,-1,2023-03-12
-0.5911001000143029,1.168335986417594,-1.169923411582148,0.8697484038924458,-1.2401032093360305,0,2023-03-12
1.1950929033160453,0.6995199496660106,0.04852314804675485,-0.7291704362258521,-1.1352526466377204,1,2023-03-12
1.0830131268795737,-1.1715690230626987,-0.024032637530513875,-0.3890769729971462,-1.2694202432644868,2,2023-03-12
-0.5911001000143029,1.168335986417594,-1.169923411582148,0.8697484038924458,-1.2401032093360305,-2,2023-03-14
1.1950929033160453,0.6995199496660106,0.04852314804675485,-0.7291704362258521,-1.1352526466377204,-1,2023-03-14
1.0830131268795737,-1.1715690230626987,-0.024032637530513875,-0.3890769729971462,-1.2694202432644868,0,2023-03-14
-1.8874855234379113,0.45956349517363526,0.3963582789177074,-0.04738944354925993,-1.678945659024293,1,2023-03-14
0.24630020466568692,0.19203682797535093,0.39242659411683184,-0.47050288711387345,-0.9970071593271537,2,2023-03-14
-1.8874855234379113,0.45956349517363526,0.3963582789177074,-0.04738944354925993,-1.678945659024293,-2,2023-03-17
0.24630020466568692,0.19203682797535093,0.39242659411683184,-0.47050288711387345,-0.9970071593271537,-1,2023-03-17
0.3920303603132694,4.266972221131506,-0.4919176527178644,-1.0454714083957495,-0.9518345652028978,0,2023-03-17
-0.2831740588447845,-0.1156821044416347,-1.4214333849889036,-1.0580088225929376,-1.5279405955040255,1,2023-03-17
0.3685573798259167,0.45758531469717834,-0.823493405918473,-0.8008106644072093,0.13605745076126513,2,2023-03-17
0.18914885013453536,-0.5842430087956795,-0.16282940603354876,-0.24720034794782178,-0.9295074548534497,-2,2023-03-23
-1.0911369482304834,0.3470076664426757,0.060567505766063255,0.018253554984884672,-0.758451843888502,-1,2023-03-23
