symbol,spread_bps,AS_corrected,pfill_60s,pfill_600s,cost_taker_rt,cost_maker_policy_rt_T60,cost_maker_policy_rt_T600,cost_maker_if_filled_rt,best_rt,gain_vs_convention14,best_mode
BTCUSDT,0.015,1.09,0.675,0.898,10.02,8.76,8.59,8.16,8.59,5.41,maker_T600
ETHUSDT,0.052,1.08,0.749,0.926,10.05,8.59,8.43,8.11,8.43,5.57,maker_T600
BNBUSDT,0.166,1.25,0.641,0.893,10.17,8.99,8.79,8.33,8.79,5.21,maker_T600
XRPUSDT,0.919,1.65,0.577,0.86,10.92,9.45,9.07,8.38,9.07,4.93,maker_T600
LINKUSDT,1.153,1.86,0.599,0.87,11.15,9.61,9.22,8.57,9.22,4.78,maker_T600
SOLUSDT,1.312,1.92,0.518,0.835,11.31,9.87,9.38,8.53,9.38,4.62,maker_T600
DOGEUSDT,1.387,2.05,0.493,0.821,11.39,10.07,9.62,8.71,9.62,4.38,maker_T600
SUIUSDT,1.388,2.14,0.545,0.85,11.39,10.03,9.63,8.9,9.63,4.37,maker_T600
AVAXUSDT,1.521,2.23,0.522,0.844,11.52,10.18,9.72,8.94,9.72,4.28,maker_T600
PYTHUSDT,2.388,3.83,0.484,0.83,12.39,11.84,11.86,11.27,11.84,2.16,maker_T60
ORDIUSDT,2.822,3.78,0.501,0.838,12.82,11.78,11.47,10.74,11.47,2.53,maker_T600
TIAUSDT,2.958,3.91,0.433,0.806,12.96,12.05,11.73,10.86,11.73,2.27,maker_T600
ARUSDT,5.401,6.31,0.191,0.613,15.4,14.98,14.99,13.21,14.98,-0.98,maker_T60
ADAUSDT,5.457,6.15,0.229,0.659,15.46,14.86,14.56,12.85,14.56,-0.56,maker_T600
FETUSDT,6.678,7.68,0.18,0.598,16.68,16.32,16.46,14.69,16.32,-2.32,maker_T60
