symbol,n,fill_rate,spread_bps,adv60,adv300,spread_filled,tick_bps,floor_bps,excess_vs_floor60,recovery_60_300,ratio_obs_over_floor
ADAUSDT,264919,0.6551,5.447,-7.6195,-7.8644,5.3861,5.457,-8.1501,0.5305,-0.2449,0.9349
ARUSDT,264937,0.6029,5.3968,-8.1621,-8.2414,5.3428,5.3348,-8.0062,-0.1559,-0.0794,1.0195
AVAXUSDT,265081,0.8412,1.4875,-2.9527,-3.0743,1.4843,1.5213,-2.2634,-0.6892,-0.1216,1.3045
BNBUSDT,265136,0.8919,0.1632,-1.3443,-1.3787,0.1629,0.1657,-0.2471,-1.0972,-0.0344,5.4399
BTCUSDT,265154,0.8987,0.0159,-1.1873,-1.1639,0.0159,0.0155,-0.0234,-1.1639,0.0234,50.6907
DOGEUSDT,265072,0.8205,1.3358,-2.7133,-2.8435,1.3275,1.3874,-2.0512,-0.6622,-0.1302,1.3228
ETHUSDT,265170,0.9282,0.0504,-1.1591,-1.1473,0.0503,0.0524,-0.0776,-1.0815,0.0118,14.939
FETUSDT,264925,0.5891,6.8338,-9.6313,-10.1338,6.7543,6.6778,-10.055,0.4236,-0.5025,0.9579
LINKUSDT,265084,0.8684,1.0829,-2.5609,-2.6724,1.0771,1.152,-1.6905,-0.8704,-0.1115,1.5149
ORDIUSDT,265096,0.8323,2.8454,-4.8954,-4.9474,2.8362,2.8086,-4.2267,-0.6687,-0.052,1.1582
PYTHUSDT,265091,0.8257,2.6375,-5.2322,-5.2557,2.6233,2.1794,-3.491,-1.7412,-0.0235,1.4988
SOLUSDT,265071,0.8343,1.2314,-2.5626,-2.5979,1.2222,1.3114,-1.9225,-0.6401,-0.0353,1.333
SUIUSDT,265084,0.8494,1.3897,-2.8694,-2.9389,1.3854,1.3873,-2.0799,-0.7895,-0.0695,1.3796
TIAUSDT,265065,0.799,2.9437,-5.0206,-5.0668,2.9275,2.9564,-4.4201,-0.6005,-0.0462,1.1358
XRPUSDT,265083,0.859,0.8761,-2.1254,-2.1175,0.8687,0.9192,-1.3535,-0.7719,0.0079,1.5703
