symbol,spr_base,spr_evt,mult,extra_rt_bps,adv_base,adv_evt
BTCUSDT,0.015,0.014,0.9333333333333333,-0.0009999999999999992,-1.169811616954474,-1.0128548895899052
ETHUSDT,0.052,0.044,0.8461538461538461,-0.008,-1.1717638637485601,0.47499216300940467
BNBUSDT,0.166,0.148,0.8915662650602408,-0.018000000000000016,-1.3398833595190929,-1.2714525139664805
XRPUSDT,0.919,0.689,0.7497279651795429,-0.2300000000000001,-2.099256967867921,-1.494778210116732
LINKUSDT,1.154,0.8975,0.7777296360485269,-0.25649999999999995,-2.5433383009125734,-1.0519821283509343
SOLUSDT,1.312,1.052,0.801829268292683,-0.26,-2.5575147339662463,-1.5306153846153845
DOGEUSDT,1.388,1.131,0.8148414985590778,-0.2569999999999999,-2.7275645790745213,-2.2173004115226336
SUIUSDT,1.389,1.251,0.9006479481641467,-0.13800000000000012,-2.8842275510387303,-2.388767123287671
AVAXUSDT,1.521,1.454,0.9559500328731099,-0.06699999999999995,-2.9529692542737553,-3.4019028340080975
PYTHUSDT,2.389,2.161,0.9045625784847218,-0.22799999999999976,-5.160032346103305,-7.413685092127302
ORDIUSDT,2.823,2.6624999999999996,0.943145589798087,-0.1605000000000003,-4.858028840901642,-7.745288852725793
TIAUSDT,2.959,2.763,0.9337614058803649,-0.19600000000000017,-5.050775074836118,-3.59878813559322
ARUSDT,5.407,4.621,0.8546328832994268,-0.7859999999999996,-7.788233360825772,-9.401395555555556
ADAUSDT,5.46,4.866,0.8912087912087912,-0.5940000000000003,-7.533745722802826,-7.037459459459459
FETUSDT,6.687,6.225,0.9309107222969941,-0.46200000000000063,-9.48097882750759,-8.581289736603088
