symbol,spread_bps,tick_bound,markout60_probe,AS60_probe_rule,rho,AS60_corrected,extrapolated,fill_rate_60s,fill_rate_600s,cost_taker_rt,cost_maker_rt_nohaircut,cost_maker_rt,maker_gain_rt,cost_convention_rt,err_vs_convention_taker
BTCUSDT,0.015,True,-1.168,1.176,0.925,1.088,False,0.675,0.898,10.02,6.16,8.16,1.85,14.0,-3.98
ETHUSDT,0.052,True,-1.154,1.18,0.914,1.079,False,0.749,0.926,10.05,6.11,8.11,1.95,14.0,-3.95
BNBUSDT,0.166,True,-1.339,1.422,0.879,1.25,False,0.641,0.893,10.17,6.33,8.33,1.83,14.0,-3.83
XRPUSDT,0.919,True,-2.092,2.552,0.646,1.648,False,0.577,0.86,10.92,6.38,8.38,2.54,14.0,-3.08
LINKUSDT,1.153,True,-2.527,3.104,0.6,1.862,True,0.599,0.87,11.15,6.57,8.57,2.58,14.0,-2.85
SOLUSDT,1.312,True,-2.546,3.202,0.6,1.921,True,0.518,0.835,11.31,6.53,8.53,2.78,14.0,-2.69
DOGEUSDT,1.387,True,-2.722,3.415,0.6,2.049,True,0.493,0.821,11.39,6.71,8.71,2.68,14.0,-2.61
SUIUSDT,1.388,True,-2.879,3.573,0.6,2.144,True,0.545,0.85,11.39,6.9,8.9,2.49,14.0,-2.61
AVAXUSDT,1.521,True,-2.958,3.718,0.6,2.231,True,0.522,0.844,11.52,6.94,8.94,2.58,14.0,-2.48
PYTHUSDT,2.388,True,-5.184,6.378,0.6,3.827,True,0.484,0.83,12.39,9.27,11.27,1.12,14.0,-1.61
ORDIUSDT,2.822,True,-4.89,6.301,0.6,3.781,True,0.501,0.838,12.82,8.74,10.74,2.08,14.0,-1.18
TIAUSDT,2.958,True,-5.034,6.513,0.6,3.908,True,0.433,0.806,12.96,8.86,10.86,2.1,14.0,-1.04
ARUSDT,5.401,True,-7.81,10.511,0.6,6.307,True,0.191,0.613,15.4,11.21,13.21,2.19,14.0,1.4
ADAUSDT,5.457,True,-7.527,10.256,0.6,6.154,True,0.229,0.659,15.46,10.85,12.85,2.61,14.0,1.46
FETUSDT,6.678,True,-9.468,12.807,0.6,7.684,True,0.18,0.598,16.68,12.69,14.69,1.99,14.0,2.68
