mechanism_id,round,gross_bps,net_bps_at_14,verdict_source,kill_reason,trigger_type,holding_period,universe,tier_central,tier_stress,maker_admissible,n_independent,operational_status,cost_realistic_rt_central,net_bps_central,net_bps_stress15x_central,cost_realistic_rt_stress_tier,net_bps_stress_tier,net_bps_stress15x_stress_tier,maker_urgency_penalty_rt_if_posted_p99,maker_urgency_penalty_rt_if_posted_p999,w5_verdict,delta_net_bps
CVD_SHOCK_DOWN_MEMORY [validated],validation,13.98,-0.02,REJECTED,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1133.0,,11.3,2.68,-2.97,12.7,1.28,-5.07,1.95,10.39,STILL_COST_FRAGILE,2.7
W7-018 BASIS_SHOCK down x time_since_prev,r3,13.2,-0.8,WEAK,cost (net ~breakeven),SLOW_STATE,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,True,22466.0,,9.4,3.8,-0.9,11.7,1.5,-4.35,1.95,10.39,STILL_COST_FRAGILE,4.6
A6 LONG_CASCADE repeat>=2 fade x mktwide density (idiosyncratic),r3,12.8,-1.2,PROMISING (contrast arm),cost (breakeven),EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,2874.0,,11.3,1.5,-4.15,12.7,0.1,-6.25,1.95,10.39,STILL_COST_FRAGILE,2.7
XSEC_RESID_MOM_7D,r3,12.5,-1.5,WEAK,cost,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,335.0,,11.7,0.8,-5.05,15.3,-2.8,-10.45,1.95,10.39,STILL_COST_FRAGILE,2.3
W7-017 BASIS_SHOCK up x time_since_prev,r3,11.5,-2.5,WEAK,cost (net still negative),SLOW_STATE,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,True,21735.0,,9.4,2.1,-2.6,11.7,-0.2,-6.05,1.95,10.39,STILL_COST_FRAGILE,4.6
XSEC_MOM_30D_LO,r3,476.8,462.8,PROMISING,,SLOW_STATE,30d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,78.0,,11.7,465.1,459.25,15.3,461.5,453.85,1.95,10.39,UNCHANGED_ALIVE,2.3
OI_COLLAPSE_BOUNCE [discovery],validation,261.0,247.0,NEEDS_MORE_RESEARCH,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,833.0,,11.3,249.7,244.05,12.7,248.3,241.95,1.95,10.39,UNCHANGED_ALIVE,2.7
XSEC_DISPERSION_COND_MOM_14D,r3,227.8,213.8,WEAK,not significant (t=1.42),SLOW_STATE,14d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,167.0,,11.7,216.1,210.25,15.3,212.5,204.85,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_MOM_14D_LO,r3,213.3,199.3,PROMISING,,SLOW_STATE,14d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,167.0,,11.7,201.6,195.75,15.3,198.0,190.35,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_MOMENTUM_HORIZON_EXTENSION [discovery],validation,213.3,199.3,REJECTED,validation gate,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,77.0,,11.7,201.6,195.75,15.3,198.0,190.35,1.95,10.39,UNCHANGED_ALIVE,2.3
