mechanism_id,family,horizon_h,tier,raw_episodes_per_day,sd_episode_bps,sd_daymean_bps,k_eff_independent_per_day,redundancy_factor,net_bps_min_1y,eta_years
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,4,T_ALL,9.56697071531445,555.9825856296209,221.04282853208815,6.32658750396446,1.5121849985192575,64.82818011077342,5.209626703896797
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,12,T_ALL,9.563610177628421,766.2061248750624,372.0305898567369,4.241641280313209,2.2546956580265625,109.11037578606023,5.834245839562143
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,1,T_ALL,9.56697071531445,355.8538859322576,130.29997851138202,7.458555697401961,1.2826840883747659,38.21481353392805,15.158573816007053
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,12,T_LIQ,4.602634467618002,891.3712471550285,566.0138815401755,2.4800650784550498,1.8558522950071945,166.0024444193074,15.39072327809761
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,4,T_LIQ,4.604829857299671,645.8649485705836,357.23407449181946,3.268719677936043,1.40875642790124,104.77080426745995,15.761820932315977
M1_RESID_REVERSION_1H_z4.0,A_resid_move,12,T_ALL,23.585485307212824,741.2084179191687,262.23138751533963,7.989348028945523,2.95211639570116,76.90809845963683,19.83612692662861
M8_VOLSHOCK_REVERSION_6.0x,D_volshock,1,T_LIQ,4.604829857299671,401.33720072250344,220.29892565179688,3.3188993036746988,1.3874569355572748,64.61000578578533,20.60069516694307
M1_RESID_REVERSION_1H_z4.0,A_resid_move,4,T_ALL,23.613980409617096,533.9339326835438,169.9000533307113,9.876157650377495,2.3910088564366427,49.82885593392796,26.61772633747669
M8_VOLSHOCK_REVERSION_3.0x,D_volshock,12,T_ALL,41.86413280908694,570.8254587200441,166.37148053685993,11.771963472740799,3.5562574506816707,48.79398430234022,31.893698884580665
M8_VOLSHOCK_REVERSION_3.0x,D_volshock,4,T_ALL,41.889034512887726,398.4066087400799,94.56546808043373,17.74957319784476,2.3600023530692047,27.734476787551625,33.985399805200196
