family,n_raw,n_independent_L1_sym24h,n_independent_L2_days,n_independent_L3_weeks,rate_L1_per_week,rate_L1_per_week_recent6m,decluster_survival_L1,sd_daymean_bps_h4,net_bps_min_1y_h4,n_symbols
Z_UNIVERSE_ALL_SYMBOL_HOURS_T_LIQ,3860562,163047,2313,331,493.6544117647059,436.91666666666663,0.042234006344154036,39.76643753051758,11.662833812398372,301
Z_UNIVERSE_ALL_SYMBOL_HOURS_T_ALL,7059253,294987,2313,331,893.1267301038063,1292.4333333333334,0.04178728259208163,39.97140121459961,11.72294624724223,307
A_RESID_1H_z>=1.5,371635,92662,2297,330,281.15908105765067,254.87777777777777,0.24933604208430316,66.40483093261719,19.475430931251562,301
A_RESID_1H_z>=2.5,112185,45700,2271,330,138.78524945770064,121.68333333333332,0.4073628381690957,128.200927734375,37.59919690100157,300
A_RESID_1H_z>=4.0,32125,18299,2173,328,55.692608695652176,48.88333333333333,0.5696186770428016,275.0785827636719,80.67596685422829,298
A_RESID_4H_z>=1.5,381944,74983,2287,330,227.71409978308026,210.50555555555556,0.19631935571706846,72.03043365478516,21.12532651450239,301
A_RESID_4H_z>=2.5,116614,31871,2228,328,97.29481029219363,88.39444444444445,0.27330337695302453,148.19168090820312,43.46215185823427,300
B_FLOWIMB_1H>=0.30,30406,16356,2222,330,49.75749674054759,90.49444444444444,0.5379201473393409,81.82325744628906,23.99739863176867,291
B_FLOWIMB_1H>=0.50,3510,664,517,183,2.024390243902439,5.299435028248587,0.1891737891737892,215.66464233398438,63.25084767327552,110
C_OI_BUILD>=1%,121103,50145,1704,244,206.11567821491485,131.9111111111111,0.4140690156313221,110.7453384399414,32.47976328610392,300
C_OI_BUILD>=2%,62530,30442,1704,244,125.12859659424545,70.66111111111111,0.48683831760754837,168.65196228027344,49.462811615956866,297
C_OI_FLUSH<=-1%,117376,50241,1704,244,206.51027598355844,138.32777777777778,0.4280346919302072,86.79595947265625,25.455809315088995,301
C_OI_FLUSH<=-2%,51680,28031,1703,244,115.21843805049912,68.6,0.5423955108359133,145.47894287109375,42.66655097296265,300
D_VOLSHOCK>=3x,49966,31324,2237,330,95.12711496746203,84.97222222222221,0.6269062962814714,179.34548950195312,52.59904504795836,300
D_VOLSHOCK>=6x,8390,6826,1822,321,20.892872759073022,18.2,0.8135876042908224,396.830810546875,116.38386746350594,291
E_BASIS_Z>=2,196633,83427,2309,331,252.59039792387543,173.40555555555554,0.42427771533771036,53.60051727294922,15.720138992416771,247
E_BASIS_Z>=3,26484,20886,2210,331,63.26352228472522,32.47222222222222,0.7886270956048935,150.72518920898438,44.20518764693593,245
F_FLOW_PRICE_DIVERGENCE,518,326,299,144,0.9995619798510731,1.7796610169491527,0.6293436293436293,233.04676818847656,68.34873568478172,82
H_FUNDING_P90 (control),920357,53668,2109,322,164.19405594405595,148.82777777777778,0.05831215495726115,81.33650207519531,23.854641388402275,297
G_XS_HOURLY_PORTFOLIO_z1,48829,48829,2035,292,168.00344064880804,168.03869184707509,1.0,,,301
G_XS_HOURLY_PORTFOLIO_fi_1h,48829,48829,2035,292,168.00344064880804,168.03869184707509,1.0,,,301
G_XS_HOURLY_PORTFOLIO_doi_1h,40855,40855,1704,245,167.8438852615362,167.96130815292491,1.0,,,301
G_XS_HOURLY_PORTFOLIO_vs,48829,48829,2035,292,168.00344064880804,168.03869184707509,1.0,,,301
G_XS_HOURLY_PORTFOLIO_bz1,48729,48729,2035,292,167.65937576800195,164.86596038691846,1.0,,,247
Y_EXISTING_EVENT_cascade,39629,22550,1840,307,72.44148692060578,107.94202898550724,0.5690277322163062,,,49
Y_EXISTING_EVENT_crowding,2274,2274,783,220,7.452247191011235,6.6568627450980395,1.0,,,49
Y_EXISTING_EVENT_ignition,8569,6844,1442,242,23.846689895470384,29.42675159235669,0.7986929630061851,,,49
Y_EXISTING_EVENT_liq_cascade,38141,21696,1726,282,75.6711509715994,109.25490196078431,0.5688366849322252,,,49
Y_EXISTING_EVENT_premium,27437,16217,1707,280,56.6744882675986,74.04026845637584,0.5910631628822393,,,49
Y_EXISTING_EVENT_spillover,7853,5526,569,210,23.079952267303103,18.352564102564102,0.7036801222462753,,,48
