family,DEGRADED_PERIOD,LOOKAHEAD,METADATA,NOT_UNIVERSAL,PLACEHOLDER,REDUNDANT_ALIAS,USABLE,n_cols
distance_ema,0,0,0,0,1,0,12,13
ema,0,0,0,0,0,1,12,13
distance_vwap,0,0,0,0,0,12,0,12
risk_off_proxy,0,0,0,1,0,0,11,12
rsi,0,0,0,0,0,2,10,12
macd_signal,0,0,0,0,0,1,11,12
dollar_volume,0,0,0,0,0,11,1,12
macd_hist,0,0,0,0,0,12,0,12
macd,0,0,0,0,0,1,11,12
intrabar_range_expansion,0,0,0,0,0,0,11,11
inverse_head_and_shoulders,0,0,0,0,0,3,8,11
last_volatility_mean,0,0,0,0,1,0,10,11
kst,0,0,0,0,0,0,11,11
keltner_width,0,0,0,0,0,0,11,11
keltner_upper,0,0,0,0,0,0,11,11
hma,0,0,0,0,0,1,10,11
keltner_mid,0,0,0,0,0,11,0,11
hurst_exponent,0,0,0,0,4,0,7,11
illiquidity_amihud,0,0,0,0,0,1,10,11
impact_score,0,0,0,0,0,11,0,11
keltner_lower,0,0,0,0,0,0,11,11
impulse_before_pullback,0,0,0,0,0,0,11,11
impulse_pullback_ratio,0,0,0,0,0,0,11,11
sample_entropy,0,0,0,0,1,0,10,11
katz_fractal_dimension,0,0,0,0,2,0,9,11
kama,0,0,0,0,0,0,11,11
zscore_return,0,0,0,0,1,0,10,11
liquidity_proxy,0,0,0,0,0,0,11,11
linear_regression_r2,0,0,0,0,2,0,9,11
linear_regression_slope,0,0,0,0,1,1,9,11
rolling_quantile_10_close,0,0,0,0,0,1,10,11
rolling_quantile_90_close,0,0,0,0,0,1,10,11
rolling_return,0,0,0,0,0,0,11,11
lower_lows_count,0,0,0,0,0,0,11,11
lower_low,0,0,0,0,0,1,10,11
lower_high,0,0,0,0,0,0,11,11
rolling_sharpe_proxy,0,0,0,0,1,0,10,11
rolling_skewness_return,0,0,0,0,2,0,9,11
rolling_sortino_proxy,0,0,0,0,1,0,10,11
rolling_std_close,0,0,0,0,1,0,10,11
rolling_volatility,0,0,0,0,1,0,10,11
rolling_vwap,0,0,0,0,0,11,0,11
rolling_win_rate,0,0,0,0,0,0,11,11
log_return,0,0,0,0,0,0,11,11
local_swing_low,0,0,0,0,0,2,9,11
local_swing_high,0,0,0,0,0,2,9,11
liquidity_shock_proxy,0,0,0,0,4,0,7,11
liquidity_regime,0,0,0,0,1,0,10,11
hilbert_sine_wave,0,0,0,0,1,0,10,11
hilbert_trendline,0,0,0,0,0,11,0,11
highpass_filtered_price,0,0,0,0,1,0,10,11
higuchi_fractal_dimension,0,0,0,0,3,8,0,11
force_index,11,0,0,0,0,0,0,11
take_profit_distance_long,0,0,0,0,0,11,0,11
take_profit_distance_short,0,0,0,0,0,11,0,11
pullback_duration,0,0,0,0,0,11,0,11
tema,0,0,0,0,0,1,10,11
fractal_dimension_index,0,0,0,0,3,0,8,11
fractal_dimension,0,0,0,0,4,0,7,11
fourier_dominant_cycle,0,0,0,0,4,0,7,11
fourier_component_2,0,0,0,0,3,0,8,11
fourier_component_1,0,0,0,0,2,0,9,11
flag,0,0,0,0,0,0,11,11
lowpass_filtered_price,0,0,0,0,0,11,0,11
fibonacci_retracement_0786,0,0,0,0,0,0,11,11
fibonacci_retracement_0618,0,0,0,0,0,0,11,11
fibonacci_retracement_05,0,0,0,0,0,1,10,11
fibonacci_retracement_0382,0,0,0,0,0,0,11,11
fibonacci_retracement_0236,0,0,0,0,0,0,11,11
trade_duration_estimate,0,0,0,0,0,1,10,11
trend_age,0,0,0,0,0,0,11,11
trend_phase,0,0,0,0,1,0,10,11
trend_regime,0,0,0,0,0,0,11,11
tail_risk_proxy,0,0,0,0,1,0,10,11
garman_klass_volatility,0,0,0,0,0,0,11,11
symmetrical_triangle,0,0,0,0,1,1,9,11
head_and_shoulders,0,0,0,0,0,3,8,11
shallow_pullback,0,0,0,0,0,0,11,11
slippage_proxy,0,0,0,0,0,0,11,11
sma,0,0,0,0,0,1,10,11
sma_slope,0,0,0,0,0,1,10,11
spectral_entropy,0,0,0,0,4,0,7,11
stationary_close_diff,0,0,0,0,0,0,11,11
stochastic_d,0,0,0,0,0,0,11,11
stochastic_k,0,0,0,0,0,11,0,11
stochastic_rsi,0,0,0,0,1,0,10,11
stop_hunt_proxy,0,0,0,0,0,0,11,11
stop_run_proxy,0,0,0,0,0,11,0,11
support_strength,0,0,0,0,0,1,10,11
support_touches,0,0,0,0,1,0,10,11
higher_low,0,0,0,0,0,0,11,11
higher_highs_count,0,0,0,0,0,0,11,11
higher_high,0,0,0,0,0,1,10,11
swing_direction,0,0,0,0,0,0,11,11
swing_length,0,0,0,0,0,11,0,11
swing_magnitude,0,0,0,0,0,1,10,11
rolling_percentile_rank_close,0,0,0,0,1,0,10,11
rolling_median_close,0,0,0,0,0,1,10,11
rolling_min_close,0,0,0,0,0,1,10,11
range_fakeout,0,0,0,0,0,0,11,11
pullback_to_support,0,0,0,0,1,0,10,11
pullback_to_vwap,0,0,0,0,1,0,10,11
pullback_volatility,0,0,0,0,0,0,11,11
pullback_volume,0,0,0,0,7,1,3,11
pump_score,0,0,0,0,1,0,10,11
range_breakout,0,0,0,0,0,11,0,11
range_compression,0,0,0,0,1,0,10,11
range_expansion_ratio,0,0,0,0,0,1,10,11
obv_slope,0,0,0,0,1,0,10,11
normalized_price_vol,0,0,0,0,1,0,10,11
false_breakout,0,0,0,0,0,0,11,11
normalized_price_mean,0,0,0,0,0,0,11,11
noise_to_signal_ratio,0,0,0,0,0,0,11,11
noise_ratio,0,0,0,0,0,11,0,11
range_regime,0,0,0,0,1,0,10,11
multi_scale_volatility,0,0,0,0,1,10,0,11
multi_scale_trend,0,0,0,0,1,10,0,11
raw_volume,0,0,0,0,0,11,0,11
realized_volatility,0,0,0,0,1,0,10,11
recent_swing_stop_long,0,0,0,0,0,0,11,11
pullback_to_ma,0,0,0,0,1,0,10,11
pullback_to_ema,0,0,0,0,2,0,9,11
pullback_slope,0,0,0,0,1,0,10,11
overextension_score,0,0,0,0,1,0,10,11
price_spike,0,0,0,0,5,6,0,11
price_normalized_by_close_open,0,0,0,0,0,10,1,11
price_normalized_by_close_low,0,0,0,0,0,10,1,11
price_normalized_by_close_high,0,0,0,0,0,10,1,11
price_impact_proxy,0,0,0,0,0,0,11,11
price_deviation_vwap,0,0,0,0,0,0,11,11
price_acceleration,0,0,0,0,0,0,11,11
price_above_sma,0,0,0,0,1,1,9,11
price_above_ema,0,0,0,0,1,0,10,11
pullback_quality_score,0,0,0,0,2,0,9,11
ppo,0,0,0,0,0,0,11,11
position_size_proxy,0,0,0,0,0,0,11,11
pivot_s1,0,0,0,0,0,10,1,11
pivot_r1,0,0,0,0,0,10,1,11
pivot_point,0,0,0,0,0,10,1,11
phase_angle,0,0,0,0,0,0,11,11
permutation_entropy,0,0,0,0,3,0,8,11
pennant,0,0,0,0,1,0,10,11
parkinson_volatility,0,0,0,0,0,0,11,11
