symbol,source,year,n_hours,close_med_abs_dev_bps,close_p99_abs_dev_bps,frac_close_dev_gt_1bp,vol_med_abs_rel_dev,ntr_enriched_zero_rate,tbb_eq_half_vol_rate,tbq_eq_half_qav_rate,tbb_med_abs_rel_dev_vs_v2
AAVEUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0666
AAVEUSDT,perp,2022,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0536
AAVEUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0618
AAVEUSDT,perp,2024,8784,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.061
AAVEUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.063
AAVEUSDT,perp,2026,4296,0.0,0.0,0.0002,0.0,1.0,1.0,1.0,0.0755
AAVEUSDT,spot,2021,8747,8.905,57.71,0.9394,2.3209,1.0,1.0,1.0,2.3369
AAVEUSDT,spot,2022,8760,6.868,23.47,0.9311,5.4427,1.0,1.0,1.0,5.615
AAVEUSDT,spot,2023,8759,6.024,20.14,0.9492,6.4341,1.0,1.0,1.0,6.7206
AAVEUSDT,spot,2024,8784,6.497,17.32,0.9597,3.5755,1.0,1.0,1.0,3.7196
AAVEUSDT,spot,2025,8760,5.234,10.15,0.9708,5.2638,1.0,1.0,1.0,5.377
AAVEUSDT,spot,2026,4296,6.898,12.12,0.9998,5.5611,1.0,1.0,1.0,5.6921
ADAUSDT,perp,2020,8056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAUSDT,perp,2022,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAUSDT,perp,2023,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAUSDT,perp,2024,8784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAUSDT,perp,2025,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAUSDT,perp,2026,5088,0.0,18.29,0.3058,0.0,0.0,0.0,1.0,0.0
ADAUSDT,spot,2020,8039,7.876,42.19,0.9325,0.474,0.0,0.0,1.0,0.4554
ADAUSDT,spot,2021,8747,7.565,39.55,0.9313,0.9993,0.0,0.0,1.0,0.9436
ADAUSDT,spot,2022,8760,6.298,17.19,0.946,3.8968,0.0,0.0,1.0,3.8723
ADAUSDT,spot,2023,8759,5.278,15.37,0.8737,5.7903,0.0,0.0,1.0,5.9416
ADAUSDT,spot,2024,8784,5.671,15.45,0.9197,3.2684,0.0,0.0,1.0,3.2982
ADAUSDT,spot,2025,8760,5.222,11.18,0.9689,3.9376,0.0,0.0,1.0,3.9975
ADAUSDT,spot,2026,5088,3.858,14.52,0.6065,3.8739,0.0,0.0,1.0,3.792
AVAXUSDT,perp,2020,2393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AVAXUSDT,perp,2021,8760,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
