column,verdict,audit_test,reason
abnormal_gap_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_gap_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_gap_2,PLACEHOLDER,A3,constante (std=0) sur 6/7 symboles audites
abnormal_gap_3,PLACEHOLDER,A3,constante (std=0) sur 6/7 symboles audites
abnormal_gap_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_range_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_range_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_range_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_range_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_range_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_return_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_return_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_return_2,PLACEHOLDER,A3,constante (std=0) sur 6/7 symboles audites
abnormal_return_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_return_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_volume_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_volume_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_volume_2,PLACEHOLDER,A3,constante (std=0) sur 5/7 symboles audites
abnormal_volume_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_volume_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_wick_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_wick_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_wick_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
