symbol,seam_type,t,detail,ratio
AVAXUSDT,feature_count,2026-05-20 01:00:00,4073 -> 4023,
BNBUSDT,feature_count,2026-05-20 01:00:00,4073 -> 4023,
LINKUSDT,feature_count,2026-05-20 01:00:00,4073 -> 4023,
ADAUSDT,feature_count,2026-05-29 09:00:00,3986 -> 4023,
BTCUSDT,feature_count,2026-05-29 09:00:00,3986 -> 4023,
DOGEUSDT,feature_count,2026-05-29 09:00:00,3986 -> 4023,
ETHUSDT,feature_count,2026-05-29 09:00:00,3986 -> 4023,
SOLUSDT,feature_count,2026-05-29 09:00:00,3986 -> 4023,
XRPUSDT,feature_count,2026-05-29 09:00:00,3986 -> 4023,
DOTUSDT,feature_count,2026-06-28 23:00:00,4073 -> 4023,
MANAUSDT,obv_reset,2021-10-30 14:00:00,2.18e+09 -> 2.76e+09 (54 sigma),
TRXUSDT,obv_reset,2022-06-15 08:00:00,5.44e+10 -> 6.21e+10 (52 sigma),
INJUSDT,obv_reset,2023-01-25 14:00:00,2.15e+08 -> 2.63e+08 (52 sigma),
GRTUSDT,obv_reset,2023-02-07 20:00:00,7.78e+09 -> 9.04e+09 (56 sigma),
BCHUSDT,obv_reset,2023-06-30 02:00:00,2.22e+07 -> 2.58e+07 (54 sigma),
PENDLEUSDT,obv_reset,2023-08-23 13:00:00,-4.82e+07 -> 9.81e+06 (55 sigma),
RUNEUSDT,obv_reset,2025-02-02 01:00:00,-4.54e+08 -> -2.9e+08 (57 sigma),
PYTHUSDT,obv_reset,2025-08-28 14:00:00,-3.32e+09 -> -1.67e+09 (64 sigma),
BTCUSDT,obv_reset,2026-01-01 00:00:00,-1.94e+06 -> -1.35e+05 (116 sigma),
UNIUSDT,obv_reset,2026-02-11 14:00:00,-2.58e+08 -> -1.86e+08 (68 sigma),
ADAUSDT,obv_reset,2026-05-20 01:00:00,-1.54e+10 -> -4.66e+08 (216 sigma),
AVAXUSDT,obv_reset,2026-05-20 01:00:00,-2.08e+08 -> -1.2e+07 (193 sigma),
BNBUSDT,obv_reset,2026-05-20 01:00:00,6.73e+07 -> 1.6e+05 (223 sigma),
ETHUSDT,obv_reset,2026-05-20 01:00:00,-1.25e+08 -> -7.91e+06 (253 sigma),
LINKUSDT,obv_reset,2026-05-20 01:00:00,-2.08e+08 -> -4.1e+06 (149 sigma),
DOGEUSDT,obv_reset,2026-05-24 00:00:00,2.24e+11 -> -8.46e+08 (243 sigma),
XRPUSDT,obv_reset,2026-05-24 00:00:00,5.03e+09 -> -7.38e+07 (166 sigma),
DOTUSDT,obv_reset,2026-06-28 23:00:00,-2.08e+09 -> -1.57e+08 (219 sigma),
