symbol,year,n_hours,tbb_is_half_volume,tbq_is_half_qav,tbratio_base_eq_0p5,ntr_zero_rate,trades_zero_rate,vol_zero_rate,n_match_perp,n_match_spot,frac_eq_perp,frac_eq_spot,source
AAVEUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0606,PERP
AAVEUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0689,PERP
AAVEUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0508,PERP
AAVEUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0403,PERP
AAVEUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0292,PERP
AAVEUSDT,2026,4296,1.0,1.0,1.0,1.0,1.0,0.0,4296,4296,0.9998,0.0002,PERP
ADAUSDT,2020,8056,0.0,1.0,0.0,0.0,0.0,0.0,8056,8039,1.0,0.0675,PERP
ADAUSDT,2021,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8747,1.0,0.0687,PERP
ADAUSDT,2022,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.054,PERP
ADAUSDT,2023,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8759,1.0,0.1263,PERP
ADAUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,1.0,0.0803,PERP
ADAUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.0311,PERP
ADAUSDT,2026,5925,0.0,1.0,0.0,0.0,0.0,0.0,5088,5088,0.6942,0.3935,MIX
ALGOUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0504,PERP
ALGOUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0695,PERP
ALGOUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.2447,PERP
ALGOUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.1905,PERP
ALGOUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.137,PERP
ALGOUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.2229,PERP
APTUSDT,2022,1774,1.0,1.0,1.0,1.0,1.0,0.0,1774,1774,1.0,0.0214,PERP
APTUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.051,PERP
APTUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0764,PERP
APTUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0498,PERP
APTUSDT,2026,4296,1.0,1.0,1.0,1.0,1.0,0.0,4296,4296,0.9998,0.0489,PERP
ARBUSDT,2023,6801,1.0,1.0,1.0,1.0,1.0,0.0,6801,6800,1.0,0.0431,PERP
ARBUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0524,PERP
ARBUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0787,PERP
ARBUSDT,2026,4295,1.0,1.0,1.0,1.0,1.0,0.0,4295,4295,0.9998,0.2412,PERP
ARUSDT,2021,2277,1.0,1.0,1.0,1.0,1.0,0.0,2277,2275,1.0,0.0655,PERP
ARUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0876,PERP
ARUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0578,PERP
ARUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0612,PERP
ARUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0709,PERP
ARUSDT,2026,4298,1.0,1.0,1.0,1.0,1.0,0.0,4298,4298,0.9998,0.0523,PERP
ATOMUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0516,PERP
ATOMUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0409,PERP
ATOMUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.045,PERP
ATOMUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0288,PERP
ATOMUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0288,PERP
ATOMUSDT,2026,4295,1.0,1.0,1.0,1.0,1.0,0.0,4295,4295,0.9998,0.0538,PERP
AVAXUSDT,2020,2393,0.0,1.0,0.0,0.0,0.0,0.0,2393,2388,1.0,0.0377,PERP
AVAXUSDT,2021,8760,0.0,1.0,0.0001,0.0,0.0,0.0,8760,8747,1.0,0.0646,PERP
AVAXUSDT,2022,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.0846,PERP
AVAXUSDT,2023,8760,0.0001,1.0,0.0001,0.0,0.0,0.0,8760,8759,1.0,0.0973,PERP
AVAXUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,1.0,0.062,PERP
AVAXUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.0914,PERP
AVAXUSDT,2026,5925,0.0,1.0,0.0,0.0,0.0,0.0,5088,5088,0.6564,0.3858,MIX
BCHUSDT,2021,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8747,1.0,0.0653,PERP
BCHUSDT,2022,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0639,PERP
BCHUSDT,2023,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8759,1.0,0.0816,PERP
BCHUSDT,2024,8784,1.0,1.0,1.0,1.0,1.0,0.0,8784,8784,0.9998,0.0408,PERP
BCHUSDT,2025,8760,1.0,1.0,1.0,1.0,1.0,0.0,8760,8760,1.0,0.0326,PERP
BCHUSDT,2026,4295,1.0,1.0,1.0,1.0,1.0,0.0,4295,4295,0.9998,0.0007,PERP
BNBUSDT,2020,7816,0.0,1.0,0.0,0.0,0.0,0.0,7816,7800,1.0,0.0577,PERP
BNBUSDT,2021,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8747,1.0,0.0716,PERP
BNBUSDT,2022,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.0736,PERP
BNBUSDT,2023,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8759,1.0,0.0872,PERP
BNBUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,1.0,0.1043,PERP
BNBUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,1.0,0.0967,PERP
BNBUSDT,2026,5924,0.0,1.0,0.0,0.0,0.0,0.0,5088,5088,0.6629,0.4082,MIX
BTCUSDT,2017,3278,1.0,1.0,0.9997,0.0003,0.0003,0.0003,0,0,,,NO_V2_REF
BTCUSDT,2018,8698,1.0,1.0,1.0,0.0,0.0,0.0,0,0,,,NO_V2_REF
BTCUSDT,2019,2651,1.0,1.0,0.9989,0.0011,0.0011,0.0011,0,2647,,0.1764,MIX
BTCUSDT,2020,8784,1.0,1.0,1.0,0.0,0.0,0.0,8784,8767,1.0,0.0982,PERP
BTCUSDT,2021,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8747,1.0,0.0759,PERP
BTCUSDT,2022,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8760,1.0,0.0372,PERP
BTCUSDT,2023,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8759,1.0,0.0493,PERP
BTCUSDT,2024,8784,1.0,1.0,1.0,0.0,0.0,0.0,8784,8784,1.0,0.0656,PERP
BTCUSDT,2025,8760,1.0,1.0,1.0,0.0,0.0,0.0,8760,8760,1.0,0.014,PERP
BTCUSDT,2026,5924,0.0,1.0,0.0,0.0,0.0,0.0,5088,5088,0.0002,1.0,SPOT
DOGEUSDT,2019,4296,0.0,1.0,0.0,0.0,0.0,0.0,0,0,,,NO_V2_REF
DOGEUSDT,2020,8766,0.0,1.0,0.0,0.0,0.0,0.0,4185,4410,0.055,0.9998,SPOT
DOGEUSDT,2021,8747,0.0,1.0,0.0,0.0001,0.0001,0.0001,8747,8747,0.0711,0.9997,SPOT
DOGEUSDT,2022,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,0.0614,1.0,SPOT
DOGEUSDT,2023,8759,0.0,1.0,0.0,0.0001,0.0001,0.0001,8759,8759,0.0363,1.0,SPOT
DOGEUSDT,2024,8784,0.0,1.0,0.0,0.0,0.0,0.0,8784,8784,0.0505,1.0,SPOT
DOGEUSDT,2025,8760,0.0,1.0,0.0,0.0,0.0,0.0,8760,8760,0.0164,1.0,SPOT
