symbol,ref,year,n,frac_close_eq,frac_vol_eq_1pct,vol_median_ratio
AAVEUSDT,perp,2021,8760,1.0,0.9999,1.0
AAVEUSDT,perp,2022,8760,1.0,1.0,1.0
AAVEUSDT,perp,2023,8760,1.0,0.9999,1.0
AAVEUSDT,perp,2024,8784,0.9998,0.9997,1.0
AAVEUSDT,perp,2025,8760,1.0,0.9995,1.0
AAVEUSDT,perp,2026,4296,0.9998,0.9998,1.0
AAVEUSDT,spot,2021,8747,0.0606,0.0006,3.3209
AAVEUSDT,spot,2022,8760,0.0689,0.0,6.4427
AAVEUSDT,spot,2023,8759,0.0508,0.0,7.4341
AAVEUSDT,spot,2024,8784,0.0403,0.0,4.5755
AAVEUSDT,spot,2025,8760,0.0292,0.0,6.2638
AAVEUSDT,spot,2026,4296,0.0002,0.0,6.5611
ADAUSDT,perp,2020,8056,1.0,0.9718,1.0
ADAUSDT,perp,2021,8760,1.0,0.9815,1.0
ADAUSDT,perp,2022,8760,1.0,0.9733,1.0
ADAUSDT,perp,2023,8760,1.0,0.9756,1.0
ADAUSDT,perp,2024,8784,1.0,0.9798,1.0
ADAUSDT,perp,2025,8760,1.0,0.9834,1.0
ADAUSDT,perp,2026,5088,0.6942,0.6325,1.0
ADAUSDT,spot,2020,8039,0.0675,0.0124,1.3986
ADAUSDT,spot,2021,8747,0.0687,0.003,1.9993
ADAUSDT,spot,2022,8760,0.054,0.0,4.8968
ADAUSDT,spot,2023,8759,0.1263,0.0,6.7903
ADAUSDT,spot,2024,8784,0.0803,0.0,4.2684
ADAUSDT,spot,2025,8760,0.0311,0.0,4.9376
ADAUSDT,spot,2026,5088,0.3935,0.3441,4.8739
ALGOUSDT,perp,2021,8760,1.0,1.0,1.0
ALGOUSDT,perp,2022,8760,1.0,1.0,1.0
ALGOUSDT,perp,2023,8760,1.0,0.9999,1.0
ALGOUSDT,perp,2024,8784,0.9998,0.9997,1.0
ALGOUSDT,perp,2025,8760,1.0,0.9995,1.0
ALGOUSDT,perp,2026,4298,0.9998,0.9998,1.0
ALGOUSDT,spot,2021,8747,0.0504,0.003,2.0349
ALGOUSDT,spot,2022,8760,0.0695,0.0002,4.1508
ALGOUSDT,spot,2023,8759,0.2447,0.0,5.3166
ALGOUSDT,spot,2024,8784,0.1905,0.0001,3.5795
ALGOUSDT,spot,2025,8760,0.137,0.0,4.7037
ALGOUSDT,spot,2026,4298,0.2229,0.0,6.2646
APTUSDT,perp,2022,1774,1.0,1.0,1.0
APTUSDT,perp,2023,8760,1.0,0.9999,1.0
APTUSDT,perp,2024,8784,0.9998,0.9997,1.0
APTUSDT,perp,2025,8760,1.0,0.9995,1.0
APTUSDT,perp,2026,4296,0.9998,0.9998,1.0
APTUSDT,spot,2022,1774,0.0214,0.0,6.4722
APTUSDT,spot,2023,8759,0.051,0.0,7.7042
APTUSDT,spot,2024,8784,0.0764,0.0,4.3938
APTUSDT,spot,2025,8760,0.0498,0.0,4.3119
APTUSDT,spot,2026,4296,0.0489,0.0,5.3785
ARBUSDT,perp,2023,6801,1.0,0.9999,1.0
ARBUSDT,perp,2024,8784,0.9998,0.9997,1.0
ARBUSDT,perp,2025,8760,1.0,0.9995,1.0
ARBUSDT,perp,2026,4295,0.9998,0.9998,1.0
ARBUSDT,spot,2023,6800,0.0431,0.0,4.6896
ARBUSDT,spot,2024,8784,0.0524,0.0,2.725
ARBUSDT,spot,2025,8760,0.0787,0.0,4.1929
ARBUSDT,spot,2026,4295,0.2412,0.0,6.5825
ARUSDT,perp,2021,2277,1.0,1.0,1.0
ARUSDT,perp,2022,8760,1.0,1.0,1.0
ARUSDT,perp,2023,8760,1.0,0.9999,1.0
ARUSDT,perp,2024,8784,0.9998,0.9997,1.0
ARUSDT,perp,2025,8760,1.0,0.9995,1.0
ARUSDT,perp,2026,4298,0.9998,0.9998,1.0
ARUSDT,spot,2021,2275,0.0655,0.0022,2.1487
ARUSDT,spot,2022,8760,0.0876,0.0,4.0437
ARUSDT,spot,2023,8759,0.0578,0.0001,4.1669
ARUSDT,spot,2024,8784,0.0612,0.001,2.9609
ARUSDT,spot,2025,8760,0.0709,0.0001,3.2799
ARUSDT,spot,2026,4298,0.0523,0.0009,2.5722
ATOMUSDT,perp,2021,8760,1.0,0.9999,1.0
ATOMUSDT,perp,2022,8760,1.0,1.0,1.0
ATOMUSDT,perp,2023,8760,1.0,0.9999,1.0
ATOMUSDT,perp,2024,8784,0.9998,0.9997,1.0
ATOMUSDT,perp,2025,8760,1.0,0.9995,1.0
ATOMUSDT,perp,2026,4295,0.9998,0.9998,1.0
ATOMUSDT,spot,2021,8747,0.0516,0.0048,2.0155
ATOMUSDT,spot,2022,8760,0.0409,0.0,4.8173
ATOMUSDT,spot,2023,8759,0.045,0.0,5.9785
ATOMUSDT,spot,2024,8784,0.0288,0.0,4.8961
ATOMUSDT,spot,2025,8760,0.0288,0.0,6.2374
ATOMUSDT,spot,2026,4295,0.0538,0.0,7.8002
AVAXUSDT,perp,2020,2393,1.0,0.9712,1.0
AVAXUSDT,perp,2021,8760,1.0,0.978,1.0
AVAXUSDT,perp,2022,8760,1.0,0.9696,1.0
AVAXUSDT,perp,2023,8760,1.0,0.9784,1.0
AVAXUSDT,perp,2024,8784,1.0,0.9764,1.0
AVAXUSDT,perp,2025,8760,1.0,0.9748,1.0
AVAXUSDT,perp,2026,5088,0.6564,0.6348,1.0
AVAXUSDT,spot,2020,2388,0.0377,0.0,11.0706
AVAXUSDT,spot,2021,8747,0.0646,0.0001,2.7612
AVAXUSDT,spot,2022,8760,0.0846,0.0,5.4584
AVAXUSDT,spot,2023,8759,0.0973,0.0,6.496
AVAXUSDT,spot,2024,8784,0.062,0.0,4.1361
AVAXUSDT,spot,2025,8760,0.0914,0.0,5.6796
AVAXUSDT,spot,2026,5088,0.3858,0.3441,5.0197
BCHUSDT,perp,2021,8760,1.0,0.9999,1.0
BCHUSDT,perp,2022,8760,1.0,1.0,1.0
BCHUSDT,perp,2023,8760,1.0,0.9999,1.0
BCHUSDT,perp,2024,8784,0.9998,0.9997,1.0
BCHUSDT,perp,2025,8760,1.0,0.9995,1.0
BCHUSDT,perp,2026,4295,0.9998,0.9998,1.0
BCHUSDT,spot,2021,8747,0.0653,0.0001,3.4634
BCHUSDT,spot,2022,8760,0.0639,0.0,7.7221
BCHUSDT,spot,2023,8759,0.0816,0.0,15.3926
BCHUSDT,spot,2024,8784,0.0408,0.0,7.0047
BCHUSDT,spot,2025,8760,0.0326,0.0,8.0171
BCHUSDT,spot,2026,4295,0.0007,0.0,9.9596
BNBUSDT,perp,2020,7816,1.0,0.9747,1.0
BNBUSDT,perp,2021,8760,1.0,0.9861,1.0
BNBUSDT,perp,2022,8760,1.0,0.9776,1.0
BNBUSDT,perp,2023,8760,1.0,0.9785,1.0
BNBUSDT,perp,2024,8784,1.0,0.9776,1.0
BNBUSDT,perp,2025,8760,1.0,0.9775,1.0
BNBUSDT,perp,2026,5088,0.6629,0.6342,1.0
BNBUSDT,spot,2020,7800,0.0577,0.014,0.758
BNBUSDT,spot,2021,8747,0.0716,0.0122,1.4805
BNBUSDT,spot,2022,8760,0.0736,0.0029,2.8551
BNBUSDT,spot,2023,8759,0.0872,0.0003,2.8972
BNBUSDT,spot,2024,8784,0.1043,0.0015,2.2465
BNBUSDT,spot,2025,8760,0.0967,0.0002,2.989
BNBUSDT,spot,2026,5088,0.4082,0.3441,3.2909
BTCUSDT,perp,2020,8784,1.0,0.9711,1.0
BTCUSDT,perp,2021,8760,1.0,0.9735,1.0
BTCUSDT,perp,2022,8760,1.0,0.9705,1.0
BTCUSDT,perp,2023,8760,1.0,0.9691,1.0
BTCUSDT,perp,2024,8784,1.0,0.9744,1.0
BTCUSDT,perp,2025,8760,1.0,0.9768,1.0
BTCUSDT,perp,2026,5088,0.0002,0.0,0.114
BTCUSDT,spot,2019,2647,0.1764,0.0042,2.1252
BTCUSDT,spot,2020,8767,0.0982,0.0,3.7025
BTCUSDT,spot,2021,8747,0.0759,0.0,5.5321
BTCUSDT,spot,2022,8760,0.0372,0.0037,4.6902
BTCUSDT,spot,2023,8759,0.0493,0.0024,7.7129
BTCUSDT,spot,2024,8784,0.0656,0.0,7.5855
BTCUSDT,spot,2025,8760,0.014,0.0,7.981
BTCUSDT,spot,2026,5088,1.0,1.0,1.0
DOGEUSDT,perp,2020,4185,0.055,0.005,0.4717
DOGEUSDT,perp,2021,8747,0.0711,0.0112,0.4925
DOGEUSDT,perp,2022,8760,0.0614,0.0002,0.2352
DOGEUSDT,perp,2023,8759,0.0363,0.0,0.1548
DOGEUSDT,perp,2024,8784,0.0505,0.0,0.2308
DOGEUSDT,perp,2025,8760,0.0164,0.0,0.1717
DOGEUSDT,perp,2026,5088,0.001,0.0,0.138
DOGEUSDT,spot,2020,4410,0.9998,0.9998,1.0
DOGEUSDT,spot,2021,8747,0.9997,0.9904,1.0
DOGEUSDT,spot,2022,8760,1.0,0.9999,1.0
DOGEUSDT,spot,2023,8759,1.0,1.0,1.0
DOGEUSDT,spot,2024,8784,1.0,1.0,1.0
DOGEUSDT,spot,2025,8760,1.0,1.0,1.0
DOGEUSDT,spot,2026,5088,1.0,1.0,1.0
DOTUSDT,perp,2021,8760,1.0,1.0,1.0
DOTUSDT,perp,2022,8760,1.0,1.0,1.0
DOTUSDT,perp,2023,8760,1.0,0.9998,1.0
DOTUSDT,perp,2024,8784,0.9998,0.9997,1.0
DOTUSDT,perp,2025,8760,1.0,0.9995,1.0
DOTUSDT,perp,2026,5088,0.8805,0.8439,1.0
DOTUSDT,spot,2021,8747,0.0521,0.0051,1.832
DOTUSDT,spot,2022,8760,0.0479,0.0,4.4739
DOTUSDT,spot,2023,8759,0.0421,0.0,6.7227
DOTUSDT,spot,2024,8784,0.0494,0.0,4.8797
DOTUSDT,spot,2025,8760,0.0729,0.0,6.0871
DOTUSDT,spot,2026,5088,0.3154,0.1559,9.2547
ENAUSDT,perp,2024,6564,0.9997,0.9998,1.0
ENAUSDT,perp,2025,8760,1.0,0.9995,1.0
ENAUSDT,perp,2026,4298,0.9998,0.9998,1.0
ENAUSDT,spot,2024,6564,0.094,0.0002,4.3071
ENAUSDT,spot,2025,8760,0.0807,0.0,5.4191
ENAUSDT,spot,2026,4298,0.1705,0.0,6.9448
ETCUSDT,perp,2021,8760,1.0,1.0,1.0
ETCUSDT,perp,2022,8760,1.0,1.0,1.0
ETCUSDT,perp,2023,8760,1.0,0.9999,1.0
ETCUSDT,perp,2024,8784,0.9998,0.9997,1.0
ETCUSDT,perp,2025,8760,1.0,0.9995,1.0
ETCUSDT,perp,2026,4296,0.9998,0.9998,1.0
ETCUSDT,spot,2021,8747,0.0448,0.0001,3.3842
ETCUSDT,spot,2022,8760,0.0526,0.0,8.1805
ETCUSDT,spot,2023,8759,0.097,0.0,14.3406
ETCUSDT,spot,2024,8784,0.0789,0.0,6.65
ETCUSDT,spot,2025,8760,0.0767,0.0,8.5179
ETCUSDT,spot,2026,4296,0.0568,0.0,10.0047
ETHUSDT,perp,2020,8784,1.0,0.9729,1.0
ETHUSDT,perp,2021,8760,1.0,0.9765,1.0
ETHUSDT,perp,2022,8760,1.0,0.9708,1.0
ETHUSDT,perp,2023,8760,1.0,0.9661,1.0
ETHUSDT,perp,2024,8784,1.0,0.9716,1.0
ETHUSDT,perp,2025,8760,1.0,0.9709,1.0
ETHUSDT,perp,2026,5088,0.6557,0.634,1.0
ETHUSDT,spot,2019,787,0.0928,0.0102,1.572
ETHUSDT,spot,2020,8767,0.1031,0.0022,2.1928
ETHUSDT,spot,2021,8747,0.0851,0.0,3.583
ETHUSDT,spot,2022,8760,0.032,0.0,5.5979
ETHUSDT,spot,2023,8759,0.0678,0.0,8.1323
ETHUSDT,spot,2024,8784,0.0417,0.0,7.1166
ETHUSDT,spot,2025,8760,0.0096,0.0,9.2825
ETHUSDT,spot,2026,5088,0.3441,0.3441,9.6104
FETUSDT,perp,2023,8374,1.0,0.9999,1.0
FETUSDT,perp,2024,8784,0.9998,0.9997,1.0
FETUSDT,perp,2025,8760,1.0,0.9995,1.0
FETUSDT,perp,2026,4297,0.9998,0.9998,1.0
FETUSDT,spot,2023,8373,0.1431,0.0,3.8037
FETUSDT,spot,2024,8784,0.077,0.0,2.7597
FETUSDT,spot,2025,8760,0.0656,0.0,3.651
FETUSDT,spot,2026,4297,0.0691,0.0,3.5811
FILUSDT,perp,2021,8760,1.0,1.0,1.0
