key,signal,neutral,horizon,basket,hold,smooth,state,regime,dir,n_days,n_indep,gross_dly,cost_dly,net_dly,net_per_hold,t,t_dir,t_inv,stab,nw_lag,meff,thr,passes,passes_placebo
lsr_globacct_x|mkt|h3|k8|hd1|sm0|-|-,lsr_globacct_x,mkt,3,8,1,0,-,-,DIR,853,284,35.02749656819301,4.050716838187463,30.976779730005546,92.93033919001664,4.064409216370512,4.064409216370512,-5.135802901211643,1.0,5,798.0000000000082,4.002575583248625,True,True
lsr_globacct_x|mkt|h1|k8|hd5|sm0|-|-,lsr_globacct_x,mkt,1,8,5,0,-,-,DIR,853,170,32.15102150945378,2.8520207360462884,29.299000773407492,29.299000773407492,4.049011299484461,4.049011299484461,-4.843330929105729,1.0,7,798.0000000000082,4.002575583248625,True,True
lsr_ttacct_x|mkt|h1|k8|hd5|sm0|-|-,lsr_ttacct_x,mkt,1,8,5,0,-,-,DIR,596,119,33.73180912608349,2.7897333357571994,30.942075790326296,30.942075790326296,3.8654889313548715,3.8654889313548715,-4.557740365661179,1.0,7,798.0000000000082,4.002575583248625,False,False
lsr_globacct_x|mkt|h1|k8|hd1|sm0|-|-,lsr_globacct_x,mkt,1,8,1,0,-,-,DIR,853,853,40.1202933382718,7.437893421918572,32.682399916353226,32.682399916353226,3.8013975611580326,3.8013975611580326,-5.530657384906458,1.0,3,798.0000000000082,4.002575583248625,False,False
lsr_ttacct_x|mkt|h1|k12|hd5|sm0|-|-,lsr_ttacct_x,mkt,1,12,5,0,-,-,DIR,596,119,27.901828921235815,2.55358956848522,25.348239352750596,25.348239352750596,3.75929444279551,3.75929444279551,-4.518222025062267,1.0,7,798.0000000000082,4.002575583248625,False,False
lsr_ttacct_x|mkt|h3|k8|hd1|sm0|-|-,lsr_ttacct_x,mkt,3,8,1,0,-,-,DIR,596,198,36.50428784057187,3.9764232252816814,32.527864615290184,97.58359384587055,3.689921876931296,3.689921876931296,-4.589972075304581,1.0,5,798.0000000000082,4.002575583248625,False,False
lsr_ttacct_x|mkt|h3|k12|hd1|sm0|-|-,lsr_ttacct_x,mkt,3,12,1,0,-,-,DIR,596,198,29.485372047232104,3.6254174023978667,25.85995464483424,77.57986393450273,3.5903138884808503,3.5903138884808503,-4.597311992287546,1.0,5,798.0000000000082,4.002575583248625,False,False
lsr_globacct_x|mkt|h3|k12|hd1|sm0|-|-,lsr_globacct_x,mkt,3,12,1,0,-,-,DIR,853,284,27.089316358534802,3.6986141875559264,23.39070217097888,70.17210651293664,3.5858609494469116,3.5858609494469116,-4.728443922627482,1.0,5,798.0000000000082,4.002575583248625,False,False
lsr_ttacct_x|mkt|h1|k12|hd1|sm5|-|-,lsr_ttacct_x,mkt,1,12,1,5,-,-,DIR,762,762,24.789141879995356,2.4470500438535208,22.342091836141833,22.342091836141833,3.5650024753750302,3.5650024753750302,-4.323613087736445,1.0,8,798.0000000000082,4.002575583248625,False,False
lsr_globacct_x|mkt|h1|k12|hd5|sm0|-|-,lsr_globacct_x,mkt,1,12,5,0,-,-,DIR,853,170,24.57833319761369,2.6185055205603667,21.95982767705333,21.95982767705333,3.5561773412839788,3.5561773412839788,-4.41276323252455,1.0,7,798.0000000000082,4.002575583248625,False,False
lsr_smart_dumb|allf|h1|k12|hd5|sm0|-|-,lsr_smart_dumb,allf,1,12,5,0,-,-,DIR,596,119,19.300213793823982,2.954331238763059,16.34588255506092,16.34588255506092,3.3828560157362184,3.3828560157362184,-4.623043376637514,1.0,7,798.0000000000082,4.002575583248625,False,False
lsr_ttacct_x|mkt|h3|k12|hd1|sm5|-|-,lsr_ttacct_x,mkt,3,12,1,5,-,-,DIR,762,254,21.113134738415415,1.7716910662962644,19.341443672119148,58.02433101635744,3.356496257640888,3.356496257640888,-3.9542071332043514,1.0,10,798.0000000000082,4.002575583248625,False,False
lsr_smart_dumb|allf|h1|k8|hd5|sm5|-|-,lsr_smart_dumb,allf,1,8,5,5,-,-,DIR,762,152,19.084509930280056,1.7037419055457241,17.38076802473433,17.38076802473433,3.270237004656412,3.270237004656412,-3.9186776538103523,1.0,12,798.0000000000082,4.002575583248625,False,False
lsr_ttacct_x|mkt|h1|k12|hd5|sm5|-|-,lsr_ttacct_x,mkt,1,12,5,5,-,-,DIR,762,152,18.65348758074808,1.4528679403417988,17.20061964040628,17.20061964040628,3.1085289542965238,3.1085289542965238,-3.6233019089702005,1.0,12,798.0000000000082,4.002575583248625,False,False
lsr_ttacct_x|mkt|h1|k8|hd1|sm0|-|-,lsr_ttacct_x,mkt,1,8,1,0,-,-,DIR,596,596,37.08854602567977,7.374372491825914,29.714173533853852,29.714173533853852,3.0633310109161354,3.0633310109161354,-4.582905266628445,1.0,3,798.0000000000082,4.002575583248625,False,False
lsr_globacct_x|allf|h1|k12|hd5|sm0|-|-,lsr_globacct_x,allf,1,12,5,0,-,-,DIR,853,170,18.103080789962238,3.1474623290967725,14.955618460865464,14.955618460865464,3.0010504383481393,3.0010504383481393,-4.260454281886909,1.0,7,798.0000000000082,4.002575583248625,False,False
