event_id,asset,binance_symbol,mexc_symbol,mexc_market,causal_class,status,reason,announcement_cut,n_hours_used,n_post_announcement_dropped,n_before_window_dropped,multiplier,integrity_violations,volume_floor,volume_cv,volume_range_coupling,log10_volume_per_range,zero_range_share,volume_floor_rank,volume_cv_rank,volume_range_coupling_rank,log10_volume_per_range_rank,n_features_ranked,volume_anomaly_rank,wash_volume_suspect,programme_like,anticipation_ratio,anticipation_base_hours,second_venue,second_venue_market,n_common_hours,log10_venue_volume_multiple,coupling_gap
771eb47c3fcc81c52c724335,1000PEPE,1000PEPEUSDT,PEPEUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,67,4,0,1.0000,0,0.4405,0.7695,0.7206,7.2328,0.0000,0.4365,0.6746,0.2460,0.9762,4,0.5833,False,False,2.8662,43,okx,spot,67,-0.5509,0.0504
8f9346145d6137459b8f23c9,ARK,ARKUSDT,ARKUSDT,spot,BAD_TIMESTAMP,NOT_COMPUTABLE,BAD_TIMESTAMP: excluded by rule (manual proof needed),True,0,0,0,,0,,,,,,,,,,0,,,,,0,,,0,,
b6b050a77e7ba560ac45accb,BSV,BSVUSDT,BSVUSDT,spot,NO_CAPACITY,MEASURED,,True,62,9,0,1.0000,0,0.3306,1.1006,0.3609,5.2911,0.0000,0.1984,0.3254,0.8810,0.1667,4,0.3929,False,False,2.1876,38,bybit,perp,62,-2.2976,-0.4753
0203a2e2313bf3decb1ca01a,TOKEN,TOKENUSDT,TOKENUSDT,spot,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 0 < 36,True,0,5,5,,0,,,,,,,,,,0,,,,,0,,,0,,
3c3028d3750531b66a53cf7c,KAS,KASUSDT,KAS_USDT,perp,UNKNOWN_EXECUTION_COST,MEASURED,,True,59,13,0,1000.0000,0,0.2154,0.9057,0.8830,8.0053,0.0000,0.0873,0.5476,0.0238,0.9921,4,0.4127,False,False,2.6995,35,kucoin,spot,59,0.7999,0.0320
b4883000a6fb5da32096f7b6,ETHW,ETHWUSDT,ETHWUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,65,6,0,1.0000,0,0.3221,0.8816,0.6188,5.9434,0.0000,0.1825,0.5635,0.4841,0.5952,4,0.4563,False,False,1.9535,41,kucoin,spot,65,0.2845,-0.2051
7f4b196e58663442894e9aef,WIF,WIFUSDT,WIFUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,64,7,0,1.0000,0,0.4344,0.7110,0.6922,6.1453,0.0000,0.4206,0.7540,0.3254,0.7222,4,0.5556,False,False,1.5260,40,bybit,perp,64,-1.3686,-0.0085
16d2301813546604bccc72c1,MYRO,MYROUSDT,MYROUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,68,3,0,1.0000,0,0.5118,0.5184,0.6035,6.6207,0.0000,0.6429,0.8651,0.5000,0.8651,4,0.7183,True,False,1.4185,44,kucoin,spot,68,-0.3501,0.0147
f43f9a7538849c554a17a309,BOME,BOMEUSDT,BOMEUSDT,spot,UNKNOWN_EXECUTION_COST,NOT_COMPUTABLE,n_hours 11 < 36,True,11,8,25,,0,,,,,,,,,,0,,,,,0,,,0,,
ad82dcce37e5348b048e282d,1000CAT,1000CATUSDT,CATUSDT,spot,UNKNOWN_EXECUTION_COST,MEASURED,,True,69,2,0,1.0000,0,0.3964,1.0237,0.4861,5.8028,0.0000,0.3254,0.3571,0.7698,0.4683,4,0.4802,False,False,1.7916,45,kucoin,spot,69,-0.8647,-0.0410
